Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 7433384 "," 6371817 "
3.01.01," Transporte de Passageiros "," 6880135 "," 5783323 "
3.01.02," Transporte de Cargas e Outros "," 553249 "," 588494 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -8593696 "," -5653305 "
3.03," Resultado Bruto "," -1160312 "," 718512 "
3.04," Despesas/Receitas Operacionais "," -2674283 "," -1670356 "
3.04.01," Despesas com Vendas "," -583684 "," -465898 "
3.04.01.01," Despesas Comerciais "," -583684 "," -465898 "
3.04.02," Despesas Gerais e Administrativas "," -2051376 "," -1319981 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," -39223 "," 115962 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 0 "," -439 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -3834595 "," -951844 "
3.06," Resultado Financeiro "," -3541632 "," -4865449 "
3.06.01," Receitas Financeiras "," 247546 "," 114209 "
3.06.01.01," Receitas com Financeiras "," 48794 "," 187990 "
3.06.01.02," Instrumentos financeiros derivativos "," 198752 "," -73781 "
3.06.02," Despesas Financeiras "," -3789178 "," -4979658 "
3.06.02.01," Variação Cambial Líquida "," -1588133 "," -3028547 "
3.06.02.02," Despesas Financeiras "," -2201045 "," -1951111 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -7376227 "," -5817293 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 192423 "," -77958 "
3.08.01," Corrente "," -48862 "," -95537 "
3.08.02," Diferido "," 241285 "," 17579 "
3.09," Resultado Líquido das Operações Continuadas "," -7183804 "," -5895251 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," -7183804 "," -5895251 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -7221538 "," -5988128 "
3.11.02," Atribuído a Sócios Não Controladores "," 37734 "," 92877 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," -0.54500 "," -0.48100 "
3.99.01.02," PN "," -19.15700 "," -16.83100 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," -0.54500 "," -0.48100 "
3.99.02.02," PN "," -19.15700 "," -16.83100 "
