Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 1505231 "," 1099351 "
1.01," Ativo Circulante "," 601805 "," 430855 "
1.01.01," Caixa e Equivalentes de Caixa "," 276640 "," 144843 "
1.01.02," Aplicações Financeiras "," 5672 "," 6000 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 129693 "," 123811 "
1.01.03.01," Clientes "," 129693 "," 123811 "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.04," Estoques "," 158839 "," 134082 "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 20936 "," 15000 "
1.01.06.01," Tributos Correntes a Recuperar "," 20936 "," 15000 "
1.01.07," Despesas Antecipadas "," "," "
1.01.08," Outros Ativos Circulantes "," 10025 "," 7119 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 10025 "," 7119 "
1.01.08.03.01," Instrumento financeiro derivativos - ativo "," 0 "," 832 "
1.01.08.03.02," Impostos de renda e contribuição social "," 7484 "," 511 "
1.01.08.03.03," Outros Créditos "," 2541 "," 5776 "
1.02," Ativo Não Circulante "," 903426 "," 668496 "
1.02.01," Ativo Realizável a Longo Prazo "," 95710 "," 75790 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 10230 "," 0 "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.02.01.04," Contas a Receber "," "," "
1.02.01.04.01," Clientes "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 50247 "," 55071 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 50247 "," 55071 "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 35233 "," 20719 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Outros Créditos "," 8965 "," 6277 "
1.02.01.10.04," Depósitos Judiciais "," 7950 "," 4811 "
1.02.01.10.05," Tributos a Recuperar "," 18318 "," 9631 "
1.02.02," Investimentos "," "," "
1.02.02.01," Participações Societárias "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "
1.02.02.01.05," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 799273 "," 581037 "
1.02.03.01," Imobilizado em Operação "," 452193 "," 304809 "
1.02.03.02," Direito de Uso em Arrendamento "," 347080 "," 276228 "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 8443 "," 11669 "
1.02.04.01," Intangíveis "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "
1.02.04.02," Goodwill "," "," "
