Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "
3.03," Resultado Bruto "," "," "
3.04," Despesas/Receitas Operacionais "," 80597 "," 10379 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -325 "," -587 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 4849 "," 0 "
3.04.04.01," Recuperação de empréstimos compulsórios Eletrobrás "," 4849 "," 0 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 76073 "," 10966 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 80597 "," 10379 "
3.06," Resultado Financeiro "," 818 "," 1259 "
3.06.01," Receitas Financeiras "," 864 "," 1297 "
3.06.02," Despesas Financeiras "," -46 "," -38 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 81415 "," 11638 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -1838 "," -117 "
3.08.01," Corrente "," -1838 "," -117 "
3.08.02," Diferido "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 79577 "," 11521 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 79577 "," 11521 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 4.17000 "," 0.60000 "
3.99.01.02," PN "," 4.17000 "," 0.60000 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 4.17000 "," 0.60000 "
3.99.02.02," PN "," 4.17000 "," 0.60000 "
