Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 194086 "," 178026 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -7162 "," -37981 "
3.03," Resultado Bruto "," 186924 "," 140045 "
3.04," Despesas/Receitas Operacionais "," -27750 "," 6173 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -41614 "," -9938 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 13864 "," 16111 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 159174 "," 146218 "
3.06," Resultado Financeiro "," -45024 "," -51496 "
3.06.01," Receitas Financeiras "," 2980 "," 2294 "
3.06.02," Despesas Financeiras "," -48004 "," -53790 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 114150 "," 94722 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -44773 "," -27364 "
3.08.01," Corrente "," 0 "," 3372 "
3.08.02," Diferido "," -44773 "," -30736 "
3.09," Resultado Líquido das Operações Continuadas "," 69377 "," 67358 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 69377 "," 67358 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.06200 "," 0.05400 "
3.99.02," Lucro Diluído por Ação "," "," "
