Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2740464 "," 1859340 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1422708 "," -1071619 "
3.03," Resultado Bruto "," 1317756 "," 787721 "
3.04," Despesas/Receitas Operacionais "," -344191 "," -342590 "
3.04.01," Despesas com Vendas "," -241989 "," -164641 "
3.04.02," Despesas Gerais e Administrativas "," -205125 "," -188495 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -1509 "," 2859 "
3.04.04," Outras Receitas Operacionais "," 117931 "," 13356 "
3.04.05," Outras Despesas Operacionais "," -12981 "," -5669 "
3.04.06," Resultado de Equivalência Patrimonial "," -518 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 973565 "," 445131 "
3.06," Resultado Financeiro "," -72281 "," -250956 "
3.06.01," Receitas Financeiras "," 224975 "," 252399 "
3.06.02," Despesas Financeiras "," -297256 "," -503355 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 901284 "," 194175 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -263904 "," 70285 "
3.08.01," Corrente "," -179195 "," -20618 "
3.08.02," Diferido "," -84709 "," 90903 "
3.09," Resultado Líquido das Operações Continuadas "," 637380 "," 264460 "
3.10," Resultado Líquido de Operações Descontinuadas "," -2320 "," -857 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," -2320 "," -857 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 635060 "," 263603 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 635060 "," 263603 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 5.37733 "," 2.74217 "
3.99.01.02," PN "," 6.48158 "," 3.22845 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 5.37733 "," 2.74217 "
3.99.02.02," PN "," 5.89284 "," 2.89057 "
