Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 12584361 "," 10673268 "," 8412439 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -10392585 "," -7562659 "," -6104467 "
3.03," Resultado Bruto "," 2191776 "," 3110609 "," 2307972 "
3.04," Despesas/Receitas Operacionais "," -1862696 "," -1613080 "," -1286575 "
3.04.01," Despesas com Vendas "," -692942 "," -553353 "," -423745 "
3.04.02," Despesas Gerais e Administrativas "," -1096513 "," -950119 "," -828853 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 32559 "," 1484 "," 33268 "
3.04.05," Outras Despesas Operacionais "," -105800 "," -111092 "," -67245 "
3.04.05.01," Perdas de recuperabilidade sobre créditos "," -105800 "," -111092 "," -67245 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 329080 "," 1497529 "," 1021397 "
3.06," Resultado Financeiro "," -361790 "," -126609 "," -148126 "
3.06.01," Receitas Financeiras "," 206721 "," 141796 "," 159034 "
3.06.02," Despesas Financeiras "," -568511 "," -268405 "," -307160 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -32710 "," 1370920 "," 873271 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -83257 "," -530741 "," -317535 "
3.08.01," Corrente "," -65668 "," -450022 "," -268143 "
3.08.02," Diferido "," -17589 "," -80719 "," -49392 "
3.09," Resultado Líquido das Operações Continuadas "," -115967 "," 840179 "," 555736 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -115967 "," 840179 "," 555736 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -115903 "," 840622 "," 555736 "
3.11.02," Atribuído a Sócios Não Controladores "," -64 "," -443 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.00000 "," 0.21020 "," 0.29650 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.00000 "," 0.21020 "," 0.29650 "
