Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 56670203 "," 54685657 "
1.01," Ativo Circulante "," 32790163 "," 31818858 "
1.01.01," Caixa e Equivalentes de Caixa "," 10147201 "," 9786142 "
1.01.02," Aplicações Financeiras "," 4189985 "," 4248318 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 1093685 "," 1581669 "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," 1093685 "," 1581669 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," 3019303 "," 2666095 "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 76997 "," 554 "
1.01.03," Contas a Receber "," 1108324 "," 1100811 "
1.01.03.01," Clientes "," 1108324 "," 1100811 "
1.01.03.01.01," Contas a receber "," 1054846 "," 1056782 "
1.01.03.01.02," Financiamento a clientes "," 53478 "," 44029 "
1.01.03.01.03," Contas a receber vinculadas "," "," "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.04," Estoques "," 11082692 "," 12706216 "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 847959 "," 852956 "
1.01.06.01," Tributos Correntes a Recuperar "," 847959 "," 852956 "
1.01.07," Despesas Antecipadas "," 183516 "," 161157 "
1.01.08," Outros Ativos Circulantes "," 5230486 "," 2963258 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," 1288464 "," 0 "
1.01.08.02.01," Ativos mantidos para venda "," 1288464 "," 0 "
1.01.08.03," Outros "," 3942022 "," 2963258 "
1.01.08.03.01," Outros ativos "," 688573 "," 519388 "
1.01.08.03.02," Instrumentos financeiros derivativos "," 703 "," 43182 "
1.01.08.03.03," Depósitos em garantia "," 3192 "," 1068 "
1.01.08.03.04," Ativos de contrato "," 3249554 "," 2399620 "
1.02," Ativo Não Circulante "," 23880040 "," 22866799 "
1.02.01," Ativo Realizável a Longo Prazo "," 1749812 "," 1565493 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 366265 "," 268668 "
1.02.01.04," Contas a Receber "," 124840 "," 111442 "
1.02.01.04.01," Clientes "," 0 "," 34 "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.04.03," Financiamento a clientes "," 124840 "," 111408 "
1.02.01.04.04," Contas a receber vinculadas "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 544416 "," 543468 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 544416 "," 543468 "
1.02.01.08," Despesas Antecipadas "," 18710 "," 28283 "
1.02.01.09," Créditos com Partes Relacionadas "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 695581 "," 613632 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Tributos a recuperar "," 345889 "," 249691 "
1.02.01.10.04," Outros ativos "," 336479 "," 349515 "
1.02.01.10.05," Depósitos em garantia "," 13137 "," 7888 "
1.02.01.10.06," Instrumentos financeiros derivativos "," 76 "," 6538 "
1.02.02," Investimentos "," 24651 "," 26918 "
1.02.02.01," Participações Societárias "," 24651 "," 26918 "
1.02.02.01.01," Participações em Coligadas "," 24651 "," 26918 "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "
1.02.02.01.05," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 9753667 "," 10488182 "
1.02.03.01," Imobilizado em Operação "," 9417517 "," 10164540 "
1.02.03.02," Direito de Uso em Arrendamento "," 336150 "," 323642 "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 12351910 "," 10786206 "
1.02.04.01," Intangíveis "," 12351910 "," 10786206 "
1.02.04.01.01," Contrato de Concessão "," "," "
1.02.04.02," Goodwill "," "," "
