Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2165637 "," 2026964 "," 2037441 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -2098487 "," -1794347 "," -1827959 "
3.03," Resultado Bruto "," 67150 "," 232617 "," 209482 "
3.04," Despesas/Receitas Operacionais "," -99975 "," 256865 "," -48277 "
3.04.01," Despesas com Vendas "," -790 "," -503 "," -214 "
3.04.02," Despesas Gerais e Administrativas "," -103275 "," -68717 "," -54847 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 4090 "," 326085 "," 6784 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -32825 "," 489482 "," 161205 "
3.06," Resultado Financeiro "," -396080 "," -232499 "," -221767 "
3.06.01," Receitas Financeiras "," 149727 "," 53302 "," 10467 "
3.06.01.01," Derivativos "," 11152 "," 26350 "," -1610 "
3.06.01.02," Receitas Financeiras "," 138575 "," 26952 "," 12077 "
3.06.02," Despesas Financeiras "," -545807 "," -285801 "," -232234 "
3.06.02.01," Despesas financeiras "," -544724 "," -250192 "," -229178 "
3.06.02.02," Variação cambial, líquida "," -1083 "," -35609 "," -3056 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -428905 "," 256983 "," -60562 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 161295 "," -80663 "," 25836 "
3.08.01," Corrente "," 0 "," -44927 "," -2169 "
3.08.02," Diferido "," 161295 "," -35736 "," 28005 "
3.09," Resultado Líquido das Operações Continuadas "," -267610 "," 176320 "," -34726 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -267610 "," 176320 "," -34726 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.00005 "," 0.00013 "," -0.00009 "
3.99.01.02," PN "," -0.00005 "," 0.00014 "," -0.00009 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
