Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 19982609 "," 15027676 "
1.01," Ativo Circulante "," 7880970 "," 4981507 "
1.01.01," Caixa e Equivalentes de Caixa "," 3562358 "," 1899533 "
1.01.02," Aplicações Financeiras "," 1876006 "," 1188625 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 1876006 "," 1188625 "
1.01.02.01.01," Títulos para Negociação "," 1876006 "," 1188625 "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 1411923 "," 1103583 "
1.01.03.01," Clientes "," 1411923 "," 1103583 "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.04," Estoques "," 129554 "," 121064 "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 278959 "," 219049 "
1.01.06.01," Tributos Correntes a Recuperar "," 278959 "," 219049 "
1.01.06.01.01," Imposto de renda e contribuição a recuperar "," 33360 "," 24449 "
1.01.06.01.02," Outros tributos a recuperar "," 245599 "," 194600 "
1.01.07," Despesas Antecipadas "," "," "
1.01.08," Outros Ativos Circulantes "," 622170 "," 449653 "
1.01.08.01," Ativos Não-Correntes a Venda "," 564986 "," 395017 "
1.01.08.01.01," Títulos e valores mobiliários "," "," "
1.01.08.01.02," Instrumentos financeiros derivativos "," 70619 "," 150813 "
1.01.08.01.03," Recebíveis de partes relacionadas "," 4766 "," 2371 "
1.01.08.01.04," Dividendos e juros sobre capital à receber "," 0 "," 84 "
1.01.08.01.05," Ativos setoriais "," 489601 "," 241749 "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 57184 "," 54636 "
1.01.08.03.01," Outros ativos "," "," "
1.02," Ativo Não Circulante "," 12101639 "," 10046169 "
1.02.01," Ativo Realizável a Longo Prazo "," 1743305 "," 554302 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.02.01.04," Contas a Receber "," 15797 "," 18029 "
1.02.01.04.01," Clientes "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 253109 "," 80124 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 253109 "," 80124 "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 1474399 "," 456149 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Outros tributos a recuperar "," 989159 "," 29166 "
1.02.01.10.04," Depósitos judiciais "," 62362 "," 60394 "
1.02.01.10.05," Instrumentos financeiros derivativos "," 287837 "," 366368 "
1.02.01.10.06," Outros ativos "," 8205 "," 221 "
1.02.01.10.07," Ativos setoriais "," 68709 "," 0 "
1.02.01.10.08," Imposto de renda e contribuição social a recuperar "," 58127 "," 0 "
1.02.02," Investimentos "," "," "
1.02.02.01," Participações Societárias "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "
1.02.02.01.05," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 344710 "," 35191 "
1.02.03.01," Imobilizado em Operação "," 271490 "," 15326 "
1.02.03.02," Direito de Uso em Arrendamento "," 73220 "," 19865 "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 10013624 "," 9456676 "
1.02.04.01," Intangíveis "," 10013624 "," 9456676 "
1.02.04.01.01," Contrato de Concessão "," 9328654 "," 8769986 "
1.02.04.01.02," Ativos de Contrato "," 684970 "," 686690 "
1.02.04.01.03," Direito de uso "," "," "
1.02.04.02," Goodwill "," "," "
