Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 12540673 "," 12259159 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -6629461 "," -6795857 "
3.02.01," Compras de energia "," -2099447 "," -2583053 "
3.02.02," Transações no mercado de energia de curto prazo "," -628632 "," -310767 "
3.02.03," Encargos de uso de rede elétrica e de conexão "," -606253 "," -560335 "
3.02.05," Outros custos operacionais "," -4851205 "," -4279593 "
3.02.06," Repactuação do risco hidrológico "," 1590825 "," 967681 "
3.02.07," Custo dos serviços prestados "," -34749 "," -29790 "
3.03," Resultado Bruto "," 5911212 "," 5463302 "
3.04," Despesas/Receitas Operacionais "," -1013088 "," 106261 "
3.04.01," Despesas com Vendas "," -28949 "," -25369 "
3.04.02," Despesas Gerais e Administrativas "," -300707 "," -251999 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.04.01," Resultado na Alienação de Investimentos "," "," "
3.04.05," Outras Despesas Operacionais "," -1285417 "," -103422 "
3.04.05.01," Provisão para redução ao valor recuperável de ativos, líquida "," -1076158 "," -98755 "
3.04.05.02," Alienação de subsidiária "," -200143 "," 0 "
3.04.05.03," Outras despesas operacionais, líquidas "," -9116 "," -4667 "
3.04.06," Resultado de Equivalência Patrimonial "," 601985 "," 487051 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 4898124 "," 5569563 "
3.06," Resultado Financeiro "," -3078690 "," -1882435 "
3.06.01," Receitas Financeiras "," 280849 "," 254804 "
3.06.02," Despesas Financeiras "," -3359539 "," -2137239 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1819434 "," 3687128 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -254464 "," -889860 "
3.08.01," Corrente "," -285345 "," -411793 "
3.08.02," Diferido "," 30881 "," -478067 "
3.09," Resultado Líquido das Operações Continuadas "," 1564970 "," 2797268 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 1564970 "," 2797268 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 1563725 "," 2797091 "
3.11.02," Atribuído a Sócios Não Controladores "," 1245 "," 177 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 1.91650 "," 3.42811 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 1.91650 "," 3.42811 "
