Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 453879 "," 223966 "," 281026 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -345318 "," -192562 "," -185444 "
3.03," Resultado Bruto "," 108561 "," 31404 "," 95582 "
3.04," Despesas/Receitas Operacionais "," -60545 "," -56879 "," -44906 "
3.04.01," Despesas com Vendas "," -42499 "," -17839 "," -19486 "
3.04.02," Despesas Gerais e Administrativas "," -23359 "," -32853 "," -23288 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," 5313 "," -6187 "," -2132 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 48016 "," -25475 "," 50676 "
3.06," Resultado Financeiro "," -9472 "," -9908 "," 1365 "
3.06.01," Receitas Financeiras "," 9770 "," 2618 "," 14750 "
3.06.02," Despesas Financeiras "," -19242 "," -12526 "," -13385 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 38544 "," -35383 "," 52041 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -9012 "," -4652 "," -5474 "
3.08.01," Corrente "," -7626 "," -4652 "," -5474 "
3.08.02," Diferido "," -1386 "," 0 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," 29532 "," -40035 "," 46567 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 29532 "," -40035 "," 46567 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 29532 "," -40035 "," 46535 "
3.11.02," Atribuído a Sócios Não Controladores "," 0 "," 0 "," 32 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.34000 "," -0.51000 "," 1.14919 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.34000 "," -0.51000 "," 1.14919 "
