Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 352989 "," 342623 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -40869 "," -21544 "
3.03," Resultado Bruto "," 312120 "," 321079 "
3.04," Despesas/Receitas Operacionais "," -20658 "," 230 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -23848 "," -9462 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 3190 "," 9692 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 291462 "," 321309 "
3.06," Resultado Financeiro "," -207064 "," -98916 "
3.06.01," Receitas Financeiras "," 7436 "," 4205 "
3.06.02," Despesas Financeiras "," -214500 "," -103121 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 84398 "," 222393 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -29681 "," -79469 "
3.08.01," Corrente "," 0 "," 3160 "
3.08.02," Diferido "," -29681 "," -82629 "
3.09," Resultado Líquido das Operações Continuadas "," 54717 "," 142924 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 54717 "," 142924 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.03200 "," 0.08100 "
3.99.02," Lucro Diluído por Ação "," "," "
