Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
2," Passivo Total "," 4299333 "," 2887004 "
2.01," Passivo Circulante "," 774688 "," 549797 "
2.01.01," Obrigações Sociais e Trabalhistas "," 95554 "," 90951 "
2.01.01.01," Obrigações Sociais "," 15065 "," 17193 "
2.01.01.02," Obrigações Trabalhistas "," 80489 "," 73758 "
2.01.02," Fornecedores "," 72059 "," 69335 "
2.01.02.01," Fornecedores Nacionais "," 72059 "," 69335 "
2.01.02.02," Fornecedores Estrangeiros "," "," "
2.01.03," Obrigações Fiscais "," 107413 "," 104468 "
2.01.03.01," Obrigações Fiscais Federais "," 48510 "," 61012 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 15138 "," 39497 "
2.01.03.01.02," Outras obrigações fiscais federais "," 33372 "," 21515 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," 58903 "," 43456 "
2.01.04," Empréstimos e Financiamentos "," 94483 "," 2312 "
2.01.04.01," Empréstimos e Financiamentos "," 94483 "," 2312 "
2.01.04.01.01," Em Moeda Nacional "," 94483 "," 2312 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "
2.01.04.02," Debêntures "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "
2.01.05," Outras Obrigações "," 405179 "," 282731 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.01.05.02," Outros "," 405179 "," 282731 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 2690 "," 2330 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "
2.01.05.02.04," Arrendamentos a pagar "," 20998 "," 16199 "
2.01.05.02.05," Provisões técnicas (ANS) "," 300540 "," 175542 "
2.01.05.02.06," Adiantamentos de clientes "," 0 "," 2501 "
2.01.05.02.07," Contas a pagar - aquisição de empresas "," 60339 "," 68360 "
2.01.05.02.08," Parcelamento de impostos "," 8863 "," 5227 "
2.01.05.02.09," Outros débitos a pagar "," 11749 "," 12572 "
2.01.06," Provisões "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "
2.01.06.02," Outras Provisões "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.01.06.02.04," Provisão para perda "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02," Passivo Não Circulante "," 1761695 "," 569663 "
2.02.01," Empréstimos e Financiamentos "," 1098571 "," 149794 "
2.02.01.01," Empréstimos e Financiamentos "," 73906 "," 149794 "
2.02.01.01.01," Em Moeda Nacional "," 73906 "," 149794 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "
2.02.01.02," Debêntures "," 1024665 "," 0 "
2.02.01.03," Financiamento por Arrendamento "," "," "
2.02.02," Outras Obrigações "," 434699 "," 307956 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.02.02.02," Outros "," 434699 "," 307956 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "
2.02.02.02.03," Arrendamentos a pagar "," 226799 "," 143121 "
2.02.02.02.04," Parcelamentos de impostos "," 51167 "," 46409 "
2.02.02.02.05," Contas a pagar - aquisição de empresas "," 146246 "," 114842 "
2.02.02.02.06," Obrigações tributárias "," 5359 "," 3294 "
2.02.02.02.07," Outros débitos a pagar "," 5128 "," 290 "
2.02.03," Tributos Diferidos "," 16543 "," 22660 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 16543 "," 22660 "
2.02.04," Provisões "," 211882 "," 89253 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 193993 "," 89253 "
2.02.04.01.01," Provisões Fiscais "," 57059 "," 14147 "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 36738 "," 25823 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "
2.02.04.01.04," Provisões Cíveis "," 100196 "," 49283 "
2.02.04.02," Outras Provisões "," 17889 "," 0 "
2.02.04.02.01," Provisões para Garantias "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.02.04.02.04," Provisões Administrativas "," "," "
2.02.04.02.05," Provisões Técnicas ANS "," 17889 "," 0 "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "
2.02.06.01," Lucros a Apropriar "," "," "
2.02.06.02," Receitas a Apropriar "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "
2.03," Patrimônio Líquido Consolidado "," 1762950 "," 1767544 "
2.03.01," Capital Social Realizado "," 1553156 "," 1496028 "
2.03.02," Reservas de Capital "," 315176 "," 268991 "
2.03.02.01," Ágio na Emissão de Ações "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "
2.03.02.04," Opções Outorgadas "," "," "
2.03.02.05," Ações em Tesouraria "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "
2.03.02.07," Reservas de Capital "," 280612 "," 246668 "
2.03.02.08," Pagamentos baseado em ações "," 34564 "," 22323 "
2.03.03," Reservas de Reavaliação "," "," "
2.03.04," Reservas de Lucros "," "," "
2.03.04.01," Reserva Legal "," "," "
2.03.04.02," Reserva Estatutária "," "," "
2.03.04.03," Reserva para Contingências "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "
2.03.04.09," Ações em Tesouraria "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," -112176 "," -47992 "
2.03.06," Ajustes de Avaliação Patrimonial "," "," "
2.03.07," Ajustes Acumulados de Conversão "," "," "
2.03.08," Outros Resultados Abrangentes "," "," "
2.03.09," Participação dos Acionistas Não Controladores "," 6794 "," 50517 "
