Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 7650867 "," 3233235 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -5968949 "," -2736112 "
3.03," Resultado Bruto "," 1681918 "," 497123 "
3.04," Despesas/Receitas Operacionais "," 14021 "," -147715 "
3.04.01," Despesas com Vendas "," -53823 "," -39334 "
3.04.02," Despesas Gerais e Administrativas "," -143735 "," -114314 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -3596 "," -1480 "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," 215175 "," 7413 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1695939 "," 349408 "
3.06," Resultado Financeiro "," -452289 "," -374993 "
3.06.01," Receitas Financeiras "," 28738 "," 42660 "
3.06.02," Despesas Financeiras "," -481027 "," -417653 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1243650 "," -25585 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -361477 "," 18600 "
3.08.01," Corrente "," -156964 "," -30176 "
3.08.02," Diferido "," -204513 "," 48776 "
3.09," Resultado Líquido das Operações Continuadas "," 882173 "," -6985 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 882173 "," -6985 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 882173 "," -6985 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 2.12932 "," -0.01686 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," "," "
