Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 93145 "," 118808 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -46454 "," -83096 "
3.03," Resultado Bruto "," 46691 "," 35712 "
3.04," Despesas/Receitas Operacionais "," -16739 "," -17837 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -16739 "," -17837 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 29952 "," 17875 "
3.06," Resultado Financeiro "," -18508 "," -16546 "
3.06.01," Receitas Financeiras "," 1173 "," 1021 "
3.06.02," Despesas Financeiras "," -19681 "," -17567 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 11444 "," 1329 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -3991 "," -259 "
3.08.01," Corrente "," -2324 "," -1360 "
3.08.02," Diferido "," -1667 "," 1101 "
3.09," Resultado Líquido das Operações Continuadas "," 7453 "," 1070 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 7453 "," 1070 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.28650 "," 0.04110 "
3.99.02," Lucro Diluído por Ação "," "," "
