Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2016525 "," 1779705 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1216342 "," -1062572 "
3.03," Resultado Bruto "," 800183 "," 717133 "
3.04," Despesas/Receitas Operacionais "," -720782 "," -615276 "
3.04.01," Despesas com Vendas "," -613588 "," -496293 "
3.04.02," Despesas Gerais e Administrativas "," -85456 "," -75773 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 378 "," -55 "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -22116 "," -43155 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 79401 "," 101857 "
3.06," Resultado Financeiro "," -50203 "," -34653 "
3.06.01," Receitas Financeiras "," 7342 "," 6935 "
3.06.02," Despesas Financeiras "," -57545 "," -41588 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 29198 "," 67204 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -8575 "," -23275 "
3.08.01," Corrente "," -3751 "," -26703 "
3.08.02," Diferido "," -4824 "," 3428 "
3.09," Resultado Líquido das Operações Continuadas "," 20623 "," 43929 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 20623 "," 43929 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 20623 "," 43929 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 7.00000 "," 16.00000 "
3.99.02," Lucro Diluído por Ação "," "," "
