Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 7551426 "," 5029120 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -4905411 "," -2451372 "
3.03," Resultado Bruto "," 2646015 "," 2577748 "
3.04," Despesas/Receitas Operacionais "," 1583424 "," -189361 "
3.04.01," Despesas com Vendas "," 7 "," -3351 "
3.04.02," Despesas Gerais e Administrativas "," -284950 "," -252003 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 1594432 "," 1672 "
3.04.05," Outras Despesas Operacionais "," -82437 "," -122156 "
3.04.06," Resultado de Equivalência Patrimonial "," 356372 "," 186477 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 4229439 "," 2388387 "
3.06," Resultado Financeiro "," -438344 "," -266462 "
3.06.01," Receitas Financeiras "," 125758 "," 134374 "
3.06.02," Despesas Financeiras "," -564102 "," -400836 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 3791095 "," 2121925 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -970996 "," -502583 "
3.08.01," Corrente "," -214862 "," -325419 "
3.08.02," Diferido "," -756134 "," -177164 "
3.09," Resultado Líquido das Operações Continuadas "," 2820099 "," 1619342 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 2820099 "," 1619342 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 2687908 "," 1649576 "
3.11.02," Atribuído a Sócios Não Controladores "," 132191 "," -30234 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.46598 "," 0.28613 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 0.46598 "," 0.28613 "
