Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 43165000 "," 31989000 "
3.01.01," Receita bruta "," 59378000 "," 44270000 "
3.01.02," (-) Deduções da receita bruta "," -16213000 "," -12281000 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -32261000 "," -24615000 "
3.03," Resultado Bruto "," 10904000 "," 7374000 "
3.04," Despesas/Receitas Operacionais "," -3032000 "," -2496000 "
3.04.01," Despesas com Vendas "," -374000 "," -288000 "
3.04.02," Despesas Gerais e Administrativas "," -1661000 "," -1530000 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -350000 "," -456000 "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -715000 "," -166000 "
3.04.05.01," Provisão para desvalorização de investimento "," "," "
3.04.05.02," Amortização de mais-valia "," -233000 "," -166000 "
3.04.05.03," Resultado de Equivalência Patrimonial "," "," "
3.04.05.04," Ajuste a valor justo de ativos classificados como mantidos para venda "," -482000 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," 68000 "," -56000 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 7872000 "," 4878000 "
3.06," Resultado Financeiro "," -2283000 "," -1030000 "
3.06.01," Receitas Financeiras "," 651000 "," 725000 "
3.06.01.01," Receitas Financeiras "," 755000 "," 597000 "
3.06.01.02," Outros resultados financeiros, líquidos "," -104000 "," 128000 "
3.06.02," Despesas Financeiras "," -2934000 "," -1755000 "
3.06.02.01," Despesas Financeiras "," -2934000 "," -1755000 "
3.06.02.02," Outros resultados financeiros, líquidos "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 5589000 "," 3848000 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -1523000 "," -943000 "
3.08.01," Corrente "," -566000 "," -511000 "
3.08.02," Diferido "," -957000 "," -432000 "
3.09," Resultado Líquido das Operações Continuadas "," 4066000 "," 2905000 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 4066000 "," 2905000 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 3925000 "," 2809000 "
3.11.02," Atribuído a Sócios Não Controladores "," 141000 "," 96000 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 3.35000 "," 2.39000 "
3.99.02," Lucro Diluído por Ação "," "," "
