Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 10418674 "," 7039331 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -7301851 "," -5283623 "
3.03," Resultado Bruto "," 3116823 "," 1755708 "
3.04," Despesas/Receitas Operacionais "," -3028308 "," -1589158 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -3066248 "," -1634545 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 58320 "," 54508 "
3.04.05," Outras Despesas Operacionais "," -20380 "," -9121 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.04.06.02," Resultado de Equivalência Patrimonial - Operações Descontinuadas "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 88515 "," 166550 "
3.06," Resultado Financeiro "," -462742 "," -385992 "
3.06.01," Receitas Financeiras "," 206450 "," 176305 "
3.06.02," Despesas Financeiras "," -669192 "," -562297 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -374227 "," -219442 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 157290 "," 71703 "
3.08.01," Corrente "," -144864 "," -82644 "
3.08.02," Diferido "," 302154 "," 154347 "
3.09," Resultado Líquido das Operações Continuadas "," -216937 "," -147739 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," -216937 "," -147739 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -226569 "," -150802 "
3.11.02," Atribuído a Sócios Não Controladores "," 9632 "," 3063 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," -0.38710 "," -0.30733 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," -0.37154 "," -0.29511 "
