Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 6218759 "," 4413421 "," 3003198 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -5121452 "," -3774950 "," -2533751 "
3.03," Resultado Bruto "," 1097307 "," 638471 "," 469447 "
3.04," Despesas/Receitas Operacionais "," -605007 "," -441450 "," -407545 "
3.04.01," Despesas com Vendas "," -196365 "," -162338 "," -137567 "
3.04.02," Despesas Gerais e Administrativas "," -475497 "," -258004 "," -177451 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -1338 "," -2216 "," -1982 "
3.04.04," Outras Receitas Operacionais "," 307136 "," 96905 "," 27914 "
3.04.05," Outras Despesas Operacionais "," -235945 "," -115546 "," -118459 "
3.04.06," Resultado de Equivalência Patrimonial "," -2998 "," -251 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 492300 "," 197021 "," 61902 "
3.06," Resultado Financeiro "," -83449 "," -7436 "," -79259 "
3.06.01," Receitas Financeiras "," 303305 "," 344009 "," 42146 "
3.06.02," Despesas Financeiras "," -386754 "," -351445 "," -121405 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 408851 "," 189585 "," -17357 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -13696 "," -67819 "," 53104 "
3.08.01," Corrente "," -134388 "," -38845 "," -25565 "
3.08.02," Diferido "," 120692 "," -28974 "," 78669 "
3.09," Resultado Líquido das Operações Continuadas "," 395155 "," 121766 "," 35747 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 395155 "," 121766 "," 35747 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 395155 "," 121766 "," 35747 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.51000 "," 0.54000 "," 0.23000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.51000 "," 0.54000 "," 0.23000 "
