Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 78345081 "," 43814661 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -57527721 "," -37884102 "
3.03," Resultado Bruto "," 20817360 "," 5930559 "
3.04," Despesas/Receitas Operacionais "," 205662 "," -736174 "
3.04.01," Despesas com Vendas "," -715830 "," -512950 "
3.04.02," Despesas Gerais e Administrativas "," -1390121 "," -1017435 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 0 "," -411925 "
3.04.04," Outras Receitas Operacionais "," 2371397 "," 1763684 "
3.04.04.01," Outras Receitas Operacionais "," 979760 "," 1763684 "
3.04.04.02," Recuperação de empréstimos compulsórios Eletrobras "," 1391280 "," 0 "
3.04.04.03," Ganhos pela não recuperabilidade de ativos financeiros "," 357 "," 0 "
3.04.05," Outras Despesas Operacionais "," -622942 "," -710117 "
3.04.05.01," Outras Despesas Operacionais "," -460029 "," -645985 "
3.04.05.02," Ganhos e perdas em ativos mantidos para venda e vendas de participações em controladas "," "," "
3.04.05.03," Perdas pela não recuperabilidade de ativos financeiros "," 0 "," -64132 "
3.04.05.04," Resultado em operações com controlada e empresas controladas em conjunto "," -162913 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," 563158 "," 152569 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 21023022 "," 5194385 "
3.06," Resultado Financeiro "," -750454 "," -1698707 "
3.06.01," Receitas Financeiras "," 1055693 "," 194092 "
3.06.01.01," Receitas Financeiras "," 249024 "," 194092 "
3.06.01.02," Atualização de créditos tributários "," 788741 "," 0 "
3.06.01.04," Ganhos com instrumentos financeiros, líquido "," 17928 "," 0 "
3.06.02," Despesas Financeiras "," -1806147 "," -1892799 "
3.06.02.01," Despesas Financeiras "," -1433087 "," -1448461 "
3.06.02.02," Variação cambial, líquida "," -108373 "," -204291 "
3.06.02.03," Perdas com instrumentos financeiros, líquido "," 0 "," -774 "
3.06.02.04," Despesas na recompra de Bonds "," -264687 "," -239273 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 20272568 "," 3495678 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -4713630 "," -1107624 "
3.08.01," Corrente "," -4306223 "," -908051 "
3.08.02," Diferido "," -407407 "," -199573 "
3.09," Resultado Líquido das Operações Continuadas "," 15558938 "," 2388054 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 15558938 "," 2388054 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 15494111 "," 2365763 "
3.11.02," Atribuído a Sócios Não Controladores "," 64827 "," 22291 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 9.09000 "," 1.39000 "
3.99.01.02," PN "," 9.09000 "," 1.39000 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 9.04000 "," 1.38000 "
3.99.02.02," PN "," 9.04000 "," 1.38000 "
