Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 8109507 "," 5993064 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -6786648 "," -5124203 "
3.03," Resultado Bruto "," 1322859 "," 868861 "
3.04," Despesas/Receitas Operacionais "," -403664 "," -349839 "
3.04.01," Despesas com Vendas "," -10875 "," -3929 "
3.04.02," Despesas Gerais e Administrativas "," -188373 "," -249418 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -251530 "," -122457 "
3.04.04," Outras Receitas Operacionais "," 47114 "," 25965 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 919195 "," 519022 "
3.06," Resultado Financeiro "," -269026 "," -150345 "
3.06.01," Receitas Financeiras "," 470859 "," 220534 "
3.06.02," Despesas Financeiras "," -739885 "," -370879 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 650169 "," 368677 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -161582 "," -103496 "
3.08.01," Corrente "," -185958 "," -89525 "
3.08.02," Diferido "," 24376 "," -13971 "
3.09," Resultado Líquido das Operações Continuadas "," 488587 "," 265181 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 488587 "," 265181 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 6.27558 "," 3.40608 "
3.99.01.02," PNA "," 6.65211 "," 3.61044 "
3.99.01.03," PNB "," 6.90314 "," 3.74668 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 6.27558 "," 3.40608 "
3.99.02.02," PNA "," 6.65211 "," 3.61044 "
3.99.02.03," PNB "," 6.90314 "," 3.74668 "
