Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
2," Passivo Total "," 24397000 "," 20921000 "
2.01," Passivo Circulante "," 5003000 "," 3475000 "
2.01.01," Obrigações Sociais e Trabalhistas "," 241000 "," 196000 "
2.01.01.01," Obrigações Sociais "," "," "
2.01.01.02," Obrigações Trabalhistas "," 241000 "," 196000 "
2.01.01.02.01," Salários, Benefícios a Empregados e Encargos a Pagar "," 241000 "," 196000 "
2.01.02," Fornecedores "," 1272000 "," 1280000 "
2.01.02.01," Fornecedores Nacionais "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "
2.01.03," Obrigações Fiscais "," "," "
2.01.03.01," Obrigações Fiscais Federais "," "," "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "
2.01.03.01.02," Programa de Integração Social - PIS "," "," "
2.01.03.01.03," Contribuição para o Financiamento da Seguridade Social - COFINS "," "," "
2.01.03.01.04," Instituto Nacional de Seguridade Social - INSS "," "," "
2.01.03.01.05," Fundo de Garantia por Tempo de Serviço - FGTS "," "," "
2.01.03.01.06," Impostos e Contribuições Retidos na Fonte "," "," "
2.01.03.01.07," Outros "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "
2.01.03.02.01," Imposto sobre Circulação de Mercadorias - ICMS "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "
2.01.03.03.01," Imposto sobre Serviços - ISS "," "," "
2.01.03.03.02," Impostos e Contribuições Retidos na Fonte "," "," "
2.01.04," Empréstimos e Financiamentos "," 1438000 "," 798000 "
2.01.04.01," Empréstimos e Financiamentos "," 1438000 "," 798000 "
2.01.04.01.01," Em Moeda Nacional "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "
2.01.04.02," Debêntures "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "
2.01.05," Outras Obrigações "," 1965000 "," 1129000 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.01.05.02," Outros "," 1965000 "," 1129000 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 125000 "," 253000 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "
2.01.05.02.04," Passivo de Arrendamento "," 10000 "," 6000 "
2.01.05.02.05," Instrumentos Financeiros Derivativos "," 60000 "," 11000 "
2.01.05.02.06," Passivo Financeiro Setorial (Parcela A e Outros) "," "," "
2.01.05.02.07," Outros Tributos e Encargos Setoriais a Recolher "," 442000 "," 354000 "
2.01.05.02.08," Ressarcimento à Consumidores – Tributos Federais "," 761000 "," 1000 "
2.01.05.02.09," Outros Passivos Circulantes "," 567000 "," 504000 "
2.01.06," Provisões "," 87000 "," 72000 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "
2.01.06.02," Outras Provisões "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02," Passivo Não Circulante "," 13218000 "," 11337000 "
2.02.01," Empréstimos e Financiamentos "," 9970000 "," 7019000 "
2.02.01.01," Empréstimos e Financiamentos "," "," "
2.02.01.01.01," Em Moeda Nacional "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "
2.02.01.02," Debêntures "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "
2.02.02," Outras Obrigações "," 2712000 "," 4032000 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "
2.02.02.01.02," Débitos com Controladas "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.02.02.02," Outros "," 2712000 "," 4032000 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "
2.02.02.02.03," Fornecedores e Contas a Pagar de Empreiteiros "," 57000 "," 53000 "
