Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 4299333 "," 2887004 "
1.01," Ativo Circulante "," 1433553 "," 940820 "
1.01.01," Caixa e Equivalentes de Caixa "," 725380 "," 529124 "
1.01.02," Aplicações Financeiras "," 278404 "," 129329 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 278404 "," 129329 "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.01.03," Aplicações Financeiras Avaliadas a Valor Justo "," 278404 "," 129329 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 259833 "," 179319 "
1.01.03.01," Clientes "," 259833 "," 179319 "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.04," Estoques "," 46962 "," 40864 "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 71565 "," 21119 "
1.01.06.01," Tributos Correntes a Recuperar "," 71565 "," 21119 "
1.01.07," Despesas Antecipadas "," 26608 "," 14617 "
1.01.08," Outros Ativos Circulantes "," 24801 "," 26448 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 24801 "," 26448 "
1.01.08.03.01," Adiantamento a fornecedores "," 19344 "," 6730 "
1.01.08.03.02," Outros "," 5457 "," 19718 "
1.02," Ativo Não Circulante "," 2865780 "," 1946184 "
1.02.01," Ativo Realizável a Longo Prazo "," 568828 "," 437037 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 0 "," 69509 "
1.02.01.01.01," Títulos Designados a Valor Justo "," 0 "," 69509 "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.02.01.04," Contas a Receber "," "," "
1.02.01.04.01," Clientes "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 174232 "," 99164 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 174232 "," 99164 "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 59935 "," 44924 "
1.02.01.09.01," Créditos com Coligadas "," 59935 "," 44924 "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 334661 "," 223440 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Garantia de Reembolso de Contingências "," 216399 "," 157747 "
1.02.01.10.04," Depósitos Judiciais "," 68073 "," 59484 "
1.02.01.10.05," Outros ativos "," 14380 "," 4105 "
1.02.01.10.06," Tributos a recuperar "," 72 "," 2104 "
1.02.01.10.07," Despesas Antecipadas "," 35737 "," 0 "
1.02.02," Investimentos "," "," "
1.02.02.01," Participações Societárias "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "
1.02.02.01.05," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 686885 "," 445878 "
1.02.03.01," Imobilizado em Operação "," 453265 "," 296023 "
1.02.03.02," Direito de Uso em Arrendamento "," 233620 "," 149855 "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 1610067 "," 1063269 "
1.02.04.01," Intangíveis "," 367490 "," 317318 "
1.02.04.01.01," Contrato de Concessão "," "," "
1.02.04.01.02," Intangível em Andamento "," "," "
1.02.04.01.03," Intagível em Operação "," 367490 "," 317318 "
1.02.04.02," Goodwill "," 1242577 "," 745951 "
