Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1407358 "," 1250463 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -645916 "," -580685 "
3.03," Resultado Bruto "," 761442 "," 669778 "
3.04," Despesas/Receitas Operacionais "," -583976 "," -356584 "
3.04.01," Despesas com Vendas "," -130896 "," -90747 "
3.04.02," Despesas Gerais e Administrativas "," -410599 "," -393759 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 0 "," 127922 "
3.04.05," Outras Despesas Operacionais "," -42481 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 177466 "," 313194 "
3.06," Resultado Financeiro "," -131168 "," -103635 "
3.06.01," Receitas Financeiras "," 34302 "," 30988 "
3.06.02," Despesas Financeiras "," -165470 "," -134623 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 46298 "," 209559 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 6185 "," -44525 "
3.08.01," Corrente "," -7253 "," -41675 "
3.08.02," Diferido "," 13438 "," -2850 "
3.09," Resultado Líquido das Operações Continuadas "," 52483 "," 165034 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 52483 "," 165034 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," 165034 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.40772 "," 1.28210 "
3.99.02," Lucro Diluído por Ação "," "," "
