" Conta "," Descrição ","01/01/2019 a 31/12/2019 ","01/01/2018 a 31/12/2018 "
" 301 "," Receita de Venda de Bens e/ou Serviços "," 3712184 "," 3380217 "
" 302 "," Custo dos Bens e/ou Serviços Vendidos "," -1.845.252 "," -1.726.381 "
" 303 "," Resultado Bruto "," 1866932 "," 1653836 "
" 304 "," Despesas/Receitas Operacionais "," -1.437.882 "," -1.112.603 "
" 30401 "," Despesas com Vendas "," -1.088.172 "," -1.037.729 "
" 30402 "," Despesas Gerais e Administrativas "," -186.799 "," -183.003 "
" 30403 "," Perdas pela Não Recuperabilidade de Ativos "," "," "
" 30404 "," Outras Receitas Operacionais "," 143307 "," 273424 "
" 30405 "," Outras Despesas Operacionais "," -306.218 "," -165.295 "
" 3040501 "," Amortização do Intangível "," -30.831 "," -32.093 "
" 3040502 "," Outras Despesas Operacionais "," -275.387 "," -133.202 "
" 30406 "," Resultado de Equivalência Patrimonial "," "," "
" 305 "," Resultado Antes do Resultado Financeiro e dos Tributos "," 429050 "," 541233 "
" 306 "," Resultado Financeiro "," -1.557 "," -7.388 "
" 30601 "," Receitas Financeiras "," 92666 "," 105944 "
" 3060101 "," Variação Cambial "," 24324 "," 43629 "
" 3060102 "," Ganhos em Operações com Derivativos "," 16333 "," 3551 "
" 3060103 "," Outras Receitas Financeiras "," 52009 "," 58764 "
" 30602 "," Despesas Financeiras "," -94.223 "," -113.332 "
" 3060201 "," Variação Cambial "," -32.484 "," -47.534 "
" 3060202 "," Perdas em Operações com Derivativos "," -9.129 "," -10.773 "
" 3060203 "," Outras Despesas Financeiras "," -52.610 "," -55.025 "
" 307 "," Resultado Antes dos Tributos sobre o Lucro "," 427493 "," 533845 "
" 308 "," Imposto de Renda e Contribuição Social sobre o Lucro "," -111.510 "," -60.869 "
" 30801 "," Corrente "," -86.236 "," -42.020 "
" 30802 "," Diferido "," -25.274 "," -18.849 "
" 309 "," Resultado Líquido das Operações Continuadas "," 315983 "," 472976 "
" 310 "," Resultado Líquido de Operações Descontinuadas "," -56.648 "," -148.935 "
" 31001 "," Lucro/Prejuízo Líquido das Operações Descontinuadas "," -56.648 "," -148.935 "
" 31002 "," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
" 311 "," Lucro/Prejuízo Consolidado do Período "," 259335 "," 324041 "
" 31101 "," Atribuído a Sócios da Empresa Controladora "," 274105 "," 331501 "
" 31102 "," Atribuído a Sócios Não Controladores "," -14.770 "," -7.460 "
" 399 "," Lucro por Ação - (Reais / Ação) "," "," "
" 39901 "," Lucro Básico por Ação "," "," "
" 39902 "," Lucro Diluído por Ação "," "," "
