Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 3472049 "," 3561286 "
3.01.01," Receita de infra, Correção monet, operação e manutenção, e outras, líquidas "," 2664691 "," 2903468 "
3.01.02," Remuneração dos ativos da concessão "," 807358 "," 657818 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -648988 "," -1047979 "
3.02.01," Pessoal "," -81657 "," -72654 "
3.02.02," Material "," -501811 "," -922080 "
3.02.03," Serviços de Terceiros "," -45238 "," -40483 "
3.02.04," Depreciação e Amortização "," -8560 "," -7200 "
3.02.05," Outros custos operacionais "," -11722 "," -5562 "
3.03," Resultado Bruto "," 2823061 "," 2513307 "
3.04," Despesas/Receitas Operacionais "," 612192 "," 681398 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -155607 "," -134421 "
3.04.02.01," Pessoal e administradores "," -101352 "," -93961 "
3.04.02.02," Serviços de terceiros "," -40163 "," -32380 "
3.04.02.03," Depreciação e Amortização "," -14092 "," -8080 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -13639 "," -18123 "
3.04.06," Resultado de Equivalência Patrimonial "," 781438 "," 833942 "
3.04.06.01," Resultado de equivalência patrimonial "," 781438 "," 833942 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 3435253 "," 3194705 "
3.06," Resultado Financeiro "," -810109 "," -475523 "
3.06.01," Receitas Financeiras "," 34283 "," 38813 "
3.06.02," Despesas Financeiras "," -844392 "," -514336 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 2625144 "," 2719182 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -411430 "," -456255 "
3.08.01," Corrente "," -21763 "," -27698 "
3.08.02," Diferido "," -389667 "," -428557 "
3.09," Resultado Líquido das Operações Continuadas "," 2213714 "," 2262927 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 2213714 "," 2262927 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 2213714 "," 2262927 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 2.14196 "," 2.18958 "
3.99.01.02," PN "," 2.14196 "," 2.18958 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 2.14196 "," 2.18958 "
3.99.02.02," PN "," 2.14196 "," 2.18958 "
