Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 105625201 "," 58543494 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -73568231 "," -47331414 "
3.03," Resultado Bruto "," 32056970 "," 11212080 "
3.04," Despesas/Receitas Operacionais "," -6013423 "," -11283972 "
3.04.01," Despesas com Vendas "," -2055640 "," -1852055 "
3.04.01.01," Com vendas e distribuição "," -2055640 "," -1852055 "
3.04.01.02," Com distribuição "," "," "
3.04.02," Despesas Gerais e Administrativas "," -2818710 "," -2169395 "
3.04.02.01," Gerais e administrativas "," -2522127 "," -1918747 "
3.04.02.02," Pesquisa e desenvolvimento "," -296583 "," -250648 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -8914 "," -55252 "
3.04.04," Outras Receitas Operacionais "," 1534487 "," 750749 "
3.04.04.01," Resultado de combinação de negócios "," "," "
3.04.04.02," Outras Receitas "," 1534487 "," 750749 "
3.04.05," Outras Despesas Operacionais "," -2669290 "," -7938621 "
3.04.06," Resultado de Equivalência Patrimonial "," 4644 "," -19398 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 26043547 "," -71892 "
3.06," Resultado Financeiro "," -8082524 "," -9611892 "
3.06.01," Receitas Financeiras "," 2057808 "," 936711 "
3.06.01.01," Receitas financeiras "," 1827438 "," 600184 "
3.06.01.02," Variações cambiais ativas "," 230370 "," 336527 "
3.06.02," Despesas Financeiras "," -10140332 "," -10548603 "
3.06.02.01," Despesas financeiras "," -5907155 "," -4913365 "
3.06.02.02," Variação cambial passiva "," -4233177 "," -5635238 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 17961023 "," -9683784 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -3999403 "," 2668478 "
3.08.01," Corrente "," -3834437 "," -52830 "
3.08.02," Diferido "," -164966 "," 2721308 "
3.09," Resultado Líquido das Operações Continuadas "," 13961620 "," -7015306 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.01.01," Resultado com operações descontinuadas "," "," "
3.10.01.02," Imposto de renda e contribuição social - correntes "," "," "
3.10.01.03," Imposto de renda e contribuição social - diferidos "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 13961620 "," -7015306 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 13984946 "," -6691720 "
3.11.02," Atribuído a Sócios Não Controladores "," -23326 "," -323586 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 17.57469 "," -8.40676 "
3.99.01.02," PNA "," 17.57488 "," -8.40676 "
3.99.01.03," PNB "," 0.57980 "," -8.40676 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 17.57469 "," -8.40676 "
3.99.02.02," PNA "," 17.52420 "," -8.37689 "
3.99.02.03," PNB "," 0.57980 "," -8.40676 "
