Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 22669705 "," 19641764 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -19130601 "," -17234816 "
3.03," Resultado Bruto "," 3539104 "," 2406948 "
3.04," Despesas/Receitas Operacionais "," -2484386 "," -4088021 "
3.04.01," Despesas com Vendas "," -1223305 "," -1002572 "
3.04.02," Despesas Gerais e Administrativas "," -827176 "," -738736 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," 70919 "," -293912 "
3.04.03.01," Ganhos (perdas) líquidas sobre contas a receber e ativos de contrato "," 70919 "," -293912 "
3.04.04," Outras Receitas Operacionais "," 365829 "," 500226 "
3.04.05," Outras Despesas Operacionais "," -876093 "," -2565736 "
3.04.05.01," Pesquisa "," -233402 "," -155105 "
3.04.05.02," Despesas Operacionais "," -642691 "," -2410631 "
3.04.06," Resultado de Equivalência Patrimonial "," 5440 "," 12709 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1054718 "," -1681073 "
3.06," Resultado Financeiro "," -933265 "," -1631104 "
3.06.01," Receitas Financeiras "," 397365 "," -468987 "
3.06.01.01," Variações Monetárias Ativas "," -32510 "," -635917 "
3.06.01.02," Receitas Financeiras "," 429875 "," 166930 "
3.06.02," Despesas Financeiras "," -1330630 "," -1162117 "
3.06.02.01," Variações Monetárias Passivas "," 170151 "," 225314 "
3.06.02.02," Despesas Financeiras "," -1500781 "," -1387431 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 121453 "," -3312177 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -389071 "," -284056 "
3.08.01," Corrente "," -168836 "," 120393 "
3.08.02," Diferido "," -220235 "," -404449 "
3.09," Resultado Líquido das Operações Continuadas "," -267618 "," -3596233 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," -267618 "," -3596233 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -274819 "," -3616014 "
3.11.02," Atribuído a Sócios Não Controladores "," 7201 "," 19781 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," -0.37404 "," -4.91197 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," -0.37404 "," -4.91197 "
