Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
2," Passivo Total "," 6588861 "," 5313967 "
2.01," Passivo Circulante "," 1562909 "," 1946749 "
2.01.01," Obrigações Sociais e Trabalhistas "," "," "
2.01.01.01," Obrigações Sociais "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "
2.01.02," Fornecedores "," 622122 "," 485469 "
2.01.02.01," Fornecedores Nacionais "," 622122 "," 485469 "
2.01.02.02," Fornecedores Estrangeiros "," "," "
2.01.03," Obrigações Fiscais "," 212895 "," 188493 "
2.01.03.01," Obrigações Fiscais Federais "," 85137 "," 76237 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 5988 "," 4195 "
2.01.03.01.02," Outras Obrigações Fiscais Federais "," 79149 "," 72042 "
2.01.03.02," Obrigações Fiscais Estaduais "," 126082 "," 110992 "
2.01.03.03," Obrigações Fiscais Municipais "," 1676 "," 1264 "
2.01.04," Empréstimos e Financiamentos "," 187432 "," 838044 "
2.01.04.01," Empréstimos e Financiamentos "," 107106 "," 489115 "
2.01.04.01.01," Em Moeda Nacional "," 107106 "," 489115 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "
2.01.04.02," Debêntures "," 80326 "," 348929 "
2.01.04.03," Financiamento por Arrendamento "," "," "
2.01.05," Outras Obrigações "," 494711 "," 391183 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.01.05.02," Outros "," 494711 "," 391183 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 55502 "," 64652 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "
2.01.05.02.04," Encargos setorias "," 59211 "," 55467 "
2.01.05.02.05," Tributos diferidos "," "," "
2.01.05.02.06," Passivos financeiros setoriais "," 226576 "," 192949 "
2.01.05.02.07," Outras contas a pagar "," 153422 "," 78115 "
2.01.06," Provisões "," 45749 "," 43560 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 38819 "," 37082 "
2.01.06.01.01," Provisões Fiscais "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," 38819 "," 37082 "
2.01.06.01.04," Provisões Cíveis "," "," "
2.01.06.01.05," Outros "," "," "
