Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 49537535 "," 46784664 "
1.01," Ativo Circulante "," 11189872 "," 11407431 "
1.01.01," Caixa e Equivalentes de Caixa "," 3472845 "," 3222768 "
1.01.02," Aplicações Financeiras "," 16303 "," 1662 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 16121 "," 1465 "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," 16121 "," 1465 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 182 "," 197 "
1.01.02.03.01," Títulos Mantidos até o Vencimento "," "," "
1.01.02.03.02," Cauções e Depósitos Vinculados "," 182 "," 197 "
1.01.03," Contas a Receber "," 5788520 "," 5100944 "
1.01.03.01," Clientes "," 4433193 "," 3768242 "
1.01.03.01.01," Clientes "," 4433193 "," 3768242 "
1.01.03.02," Outras Contas a Receber "," 1355327 "," 1332702 "
1.01.03.02.01," Dividendos a Receber "," 68162 "," 67066 "
1.01.03.02.02," Repasse CRC ao Governo Estado do Paraná "," 0 "," 287789 "
1.01.03.02.03," Ativos Financeiros Setoriais "," 383740 "," 173465 "
1.01.03.02.04," Contas a Receber Vinculadas à Concessão "," 5121 "," 4515 "
1.01.03.02.05," Ativos de contrato "," 148488 "," 285682 "
1.01.03.02.06," Créditos com Partes Relacionadas "," "," "
1.01.03.02.07," Outros Créditos "," 749816 "," 514185 "
1.01.04," Estoques "," 197779 "," 162791 "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 1660776 "," 1651733 "
1.01.06.01," Tributos Correntes a Recuperar "," 1660776 "," 1651733 "
1.01.06.01.01," Imposto de Renda e Contribuição Social "," 151912 "," 86410 "
1.01.06.01.02," Outros Tributos a Recuperar "," 1508864 "," 1565323 "
1.01.07," Despesas Antecipadas "," 53649 "," 36987 "
1.01.08," Outros Ativos Circulantes "," 0 "," 1230546 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," 0 "," 1230546 "
1.01.08.03," Outros "," "," "
1.02," Ativo Não Circulante "," 38347663 "," 35377233 "
1.02.01," Ativo Realizável a Longo Prazo "," 15947378 "," 16222800 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 364922 "," 321450 "
1.02.01.01.01," Títulos Designados a Valor Justo "," 364922 "," 321450 "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 142764 "," 133521 "
1.02.01.03.01," Cauções e Depósitos Vinculados "," 142764 "," 133521 "
1.02.01.04," Contas a Receber "," 82233 "," 51438 "
1.02.01.04.01," Clientes "," 82233 "," 51438 "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 963259 "," 1191104 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 963259 "," 1191104 "
1.02.01.08," Despesas Antecipadas "," 27 "," 44 "
1.02.01.09," Créditos com Partes Relacionadas "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 14394173 "," 14525243 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Ativos Financeiros Setoriais "," 383740 "," 173465 "
1.02.01.10.04," Contas a Receber Vinculadas à Concessão "," 2261684 "," 1897825 "
1.02.01.10.05," Ativos de contrato "," 6739560 "," 5207115 "
1.02.01.10.06," Repasse CRC ao Governo Estado do Paraná "," 0 "," 1104835 "
1.02.01.10.07," Depósitos Judíciais "," 591131 "," 486746 "
1.02.01.10.08," Imposto de Renda e Contribuição Social a Recuperar "," 153850 "," 137778 "
1.02.01.10.09," Tributos Correntes a Recuperar "," 3143546 "," 4539498 "
1.02.01.10.10," Outros Créditos "," 916606 "," 845460 "
1.02.01.10.11," Direito de Uso em Andamento "," 204056 "," 132521 "
1.02.02," Investimentos "," 3042134 "," 2729517 "
1.02.02.01," Participações Societárias "," 3041593 "," 2728709 "
1.02.02.01.01," Participações em Coligadas "," 48096 "," 40073 "
1.02.02.01.04," Participações em Controladas em Conjunto "," 2993497 "," 2688636 "
1.02.02.01.05," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," 541 "," 808 "
1.02.03," Imobilizado "," 10142591 "," 9495460 "
1.02.03.01," Imobilizado em Operação "," 9577127 "," 8885114 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "
1.02.03.03," Imobilizado em Andamento "," 565464 "," 610346 "
1.02.04," Intangível "," 9215560 "," 6929456 "
1.02.04.01," Intangíveis "," 9215560 "," 6929456 "
1.02.04.01.01," Contrato de Concessão "," 8451615 "," 6531375 "
1.02.04.01.02," Autorização e Concessão de Controladas "," 714572 "," 358218 "
1.02.04.01.03," Outros "," 49373 "," 39863 "
1.02.04.02," Goodwill "," "," "
