Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 272628 "," 241082 "
1.01," Ativo Circulante "," 49601 "," 68023 "
1.01.01," Caixa e Equivalentes de Caixa "," 22590 "," 23747 "
1.01.02," Aplicações Financeiras "," 9767 "," 22722 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 9767 "," 22722 "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.01.03," Aplicações Financeiras de Uso Restrito "," 9767 "," 22722 "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 14383 "," 17701 "
1.01.03.01," Clientes "," 13829 "," 16953 "
1.01.03.02," Outras Contas a Receber "," 554 "," 748 "
1.01.04," Estoques "," 1459 "," 1288 "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 371 "," 643 "
1.01.06.01," Tributos Correntes a Recuperar "," 371 "," 643 "
1.01.07," Despesas Antecipadas "," 1031 "," 1922 "
1.01.08," Outros Ativos Circulantes "," "," "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," "," "
1.02," Ativo Não Circulante "," 223027 "," 173059 "
1.02.01," Ativo Realizável a Longo Prazo "," 17433 "," 16647 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," 4867 "," 2056 "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.02.01.04," Contas a Receber "," 70 "," 501 "
1.02.01.04.01," Clientes "," 0 "," 485 "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.04.03," Depósitos Judiciais "," 70 "," 16 "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 11799 "," 13466 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 11799 "," 13466 "
1.02.01.08," Despesas Antecipadas "," 697 "," 624 "
1.02.01.09," Créditos com Partes Relacionadas "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," "," "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.02," Investimentos "," "," "
1.02.02.01," Participações Societárias "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.02," Participações em Controladas "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "
1.02.02.01.04," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 198818 "," 148828 "
1.02.03.01," Imobilizado em Operação "," 198818 "," 148828 "
1.02.03.02," Direito de Uso em Arrendamento "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 6776 "," 7584 "
1.02.04.01," Intangíveis "," 6776 "," 7584 "
1.02.04.01.01," Contrato de Concessão "," "," "
1.02.04.01.02," Intangível "," 6601 "," 6976 "
1.02.04.01.03," Direito de Uso "," 175 "," 608 "
