Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
2," Passivo Total "," 33378739 "," 30291259 "
2.01," Passivo Circulante "," 6989584 "," 8059082 "
2.01.01," Obrigações Sociais e Trabalhistas "," "," "
2.01.01.01," Obrigações Sociais "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "
2.01.02," Fornecedores "," 1944092 "," 2251446 "
2.01.02.01," Fornecedores Nacionais "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "
2.01.03," Obrigações Fiscais "," 770934 "," 631776 "
2.01.03.01," Obrigações Fiscais Federais "," 461261 "," 369258 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 136043 "," 100260 "
2.01.03.01.02," Outras Obrigações Fiscais Federais "," 325218 "," 268998 "
2.01.03.02," Obrigações Fiscais Estaduais "," 302327 "," 255795 "
2.01.03.03," Obrigações Fiscais Municipais "," 7346 "," 6723 "
2.01.04," Empréstimos e Financiamentos "," 1580503 "," 3314365 "
2.01.04.01," Empréstimos e Financiamentos "," 801082 "," 2053615 "
2.01.04.01.01," Em Moeda Nacional "," 608441 "," 1752138 "
2.01.04.01.02," Em Moeda Estrangeira "," 192641 "," 301477 "
2.01.04.02," Debêntures "," 779421 "," 1260750 "
2.01.04.03," Financiamento por Arrendamento "," "," "
2.01.05," Outras Obrigações "," 2398937 "," 1713042 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.01.05.02," Outros "," 2398937 "," 1713042 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 680874 "," 514171 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "
2.01.05.02.04," Encargos setoriais "," 132454 "," 111251 "
2.01.05.02.05," Uso do bem público "," 43269 "," 35609 "
2.01.05.02.06," Imposto de renda e contribuição social diferidos "," 67558 "," 11550 "
2.01.05.02.07," Passivos financeiros setoriais "," 627003 "," 626801 "
2.01.05.02.08," Ressarcimento por indisponibilidade "," 2945 "," 5307 "
2.01.05.02.09," Outras contas a pagar "," 464929 "," 351293 "
2.01.05.02.10," Compromissos futuros "," 379905 "," 57060 "
2.01.06," Provisões "," 117118 "," 148453 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 65981 "," 59083 "
2.01.06.01.01," Provisões Fiscais "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," 51615 "," 45538 "
2.01.06.01.04," Provisões Cíveis "," 2315 "," 2171 "
2.01.06.01.07," Outras "," 12051 "," 11374 "
2.01.06.02," Outras Provisões "," 51137 "," 89370 "
2.01.06.02.01," Provisões para Garantias "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.01.06.02.04," Provisões para Passivos Ambientais "," 51137 "," 89370 "
2.01.06.02.05," Ressarcimento por indisponibilidade "," "," "
2.01.06.02.06," Contraprestação contingente "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," 178000 "," 0 "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," 178000 "," 0 "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02," Passivo Não Circulante "," 14095143 "," 10975904 "
2.02.01," Empréstimos e Financiamentos "," 9017011 "," 5720527 "
2.02.01.01," Empréstimos e Financiamentos "," 2072049 "," 1765076 "
2.02.01.01.01," Em Moeda Nacional "," 2072049 "," 1765076 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "
2.02.01.02," Debêntures "," 6944962 "," 3955451 "
2.02.01.03," Financiamento por Arrendamento "," "," "
2.02.02," Outras Obrigações "," 2462304 "," 2742893 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.02.02.02," Outros "," 2462304 "," 2742893 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "
2.02.02.02.03," Fornecedores "," "," "
2.02.02.02.04," Imposto de renda e Contribuição social a recolher "," 291986 "," 326422 "
2.02.02.02.05," Encargos setoriais "," "," "
2.02.02.02.06," Uso do bem público "," 462865 "," 407226 "
2.02.02.02.07," Passivos financeiros setoriais "," 1496347 "," 1770600 "
2.02.02.02.08," Ressarcimento por indisponibilidade "," "," "
2.02.02.02.09," Outras contas a pagar "," 125369 "," 97200 "
2.02.02.02.10," Compromissos futuros "," 85737 "," 141445 "
2.02.03," Tributos Diferidos "," 1227836 "," 1109341 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 1227836 "," 1109341 "
2.02.04," Provisões "," 1387992 "," 1403143 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 1348940 "," 1361296 "
2.02.04.01.01," Provisões Fiscais "," 52545 "," 42357 "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 137027 "," 126917 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," 798634 "," 850931 "
2.02.04.01.04," Provisões Cíveis "," 308289 "," 288244 "
2.02.04.01.07," Outras "," 52445 "," 52847 "
2.02.04.02," Outras Provisões "," 39052 "," 41847 "
2.02.04.02.01," Provisões para Garantias "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.02.04.02.04," Provisões para Licenças Ambientais "," 26052 "," 31922 "
2.02.04.02.05," Provisão para benefícios pós-emprego "," "," "
2.02.04.02.06," Provisão para passivo a descoberto "," 2329 "," 0 "
2.02.04.02.07," Provisão para desmantelamento "," 10671 "," 9925 "
2.02.04.02.08," Ressarcimento por indisponibilidade "," "," "
2.02.04.02.09," Contraprestação contingente "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "
2.02.06.01," Lucros a Apropriar "," "," "
2.02.06.02," Receitas a Apropriar "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "
2.03," Patrimônio Líquido Consolidado "," 12294012 "," 11256273 "
2.03.01," Capital Social Realizado "," 5502716 "," 5502716 "
2.03.02," Reservas de Capital "," 42300 "," -4919 "
2.03.02.01," Ágio na Emissão de Ações "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "
2.03.02.04," Opções Outorgadas "," 5681 "," 10552 "
2.03.02.05," Ações em Tesouraria "," -90534 "," -145988 "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "
2.03.02.07," Ágio na incorporação de sociedade controladora "," 35351 "," 35351 "
2.03.02.08," Resultado na alienação de ações em tesouraria "," 60490 "," 62261 "
2.03.02.09," Outras Reservas de Capital "," 31312 "," 32905 "
2.03.03," Reservas de Reavaliação "," "," "
2.03.04," Reservas de Lucros "," 6260565 "," 5365110 "
2.03.04.01," Reserva Legal "," 673859 "," 565867 "
2.03.04.02," Reserva Estatutária "," "," "
2.03.04.03," Reserva para Contingências "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," 4116043 "," 4583041 "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "
2.03.04.09," Ações em Tesouraria "," "," "
2.03.04.10," Lucros retidos à deliberar "," 1470663 "," 216202 "
2.03.05," Lucros/Prejuízos Acumulados "," "," "
2.03.06," Ajustes de Avaliação Patrimonial "," "," "
2.03.07," Ajustes Acumulados de Conversão "," "," "
2.03.08," Outros Resultados Abrangentes "," -654184 "," -741827 "
2.03.08.01," Equivalência Patrimonial s/ Resultados abrangentes das subsidiárias "," -654184 "," -741827 "
2.03.08.02," Ativos financeiros disponíveis para venda "," "," "
2.03.08.03," Hedge de fluxos de caixa "," "," "
2.03.08.04," IR/CS diferidos "," "," "
2.03.09," Participação dos Acionistas Não Controladores "," 1142615 "," 1135193 "
