Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
2," Passivo Total "," 10719787 "," 8925501 "
2.01," Passivo Circulante "," 3949845 "," 3040920 "
2.01.01," Obrigações Sociais e Trabalhistas "," 153993 "," 101026 "
2.01.01.01," Obrigações Sociais "," "," "
2.01.01.02," Obrigações Trabalhistas "," 153993 "," 101026 "
2.01.02," Fornecedores "," 1081159 "," 883173 "
2.01.02.01," Fornecedores Nacionais "," 945999 "," 730041 "
2.01.02.01.01," Fornecedores Nacionais "," 812500 "," 722200 "
2.01.02.01.02," Risco Sacado "," 133499 "," 7841 "
2.01.02.02," Fornecedores Estrangeiros "," 135160 "," 153132 "
2.01.03," Obrigações Fiscais "," 203148 "," 280594 "
2.01.03.01," Obrigações Fiscais Federais "," 161048 "," 259221 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 57475 "," 201692 "
2.01.03.01.02," Outras Obrigações Federais "," 103573 "," 57529 "
2.01.03.02," Obrigações Fiscais Estaduais "," 40587 "," 20240 "
2.01.03.03," Obrigações Fiscais Municipais "," 1513 "," 1133 "
2.01.04," Empréstimos e Financiamentos "," 1187187 "," 946872 "
2.01.04.01," Empréstimos e Financiamentos "," 1187187 "," 946872 "
2.01.04.01.01," Em Moeda Nacional "," 917594 "," 737086 "
2.01.04.01.02," Em Moeda Estrangeira "," 269593 "," 209786 "
2.01.04.02," Debêntures "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "
2.01.05," Outras Obrigações "," 1257288 "," 788129 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.01.05.02," Outros "," 1257288 "," 788129 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 134226 "," 138935 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "
2.01.05.02.04," Adiantamentos de Clientes "," 194768 "," 104306 "
2.01.05.02.05," Participações de Empregados e Administradores "," 122132 "," 80944 "
2.01.05.02.06," Juros sobre capital próprio a pagar "," 61158 "," 62740 "
2.01.05.02.07," Contas a pagar de combinação de negócios "," 8359 "," 53217 "
2.01.05.02.08," Outras contas "," 104026 "," 123009 "
2.01.05.02.09," Clientes por Mercadoria a Entregar "," 5824 "," 15651 "
2.01.05.02.10," Instrumentos financeiros derivativos "," 3202 "," 2257 "
2.01.05.02.11," Arrendamentos IFRS 16 "," 27336 "," 31310 "
2.01.05.02.12," Captação de recursos de terceiros "," 596257 "," 175760 "
2.01.06," Provisões "," 60371 "," 31109 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "
2.01.06.02," Outras Provisões "," 60371 "," 31109 "
2.01.06.02.01," Provisões para Garantias "," 32809 "," 11472 "
2.01.06.02.02," Provisões para Reestruturação "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.01.06.02.04," Comissões a pagar "," 27562 "," 19637 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," 6699 "," 10017 "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," 6699 "," 10017 "
2.01.07.02.01," Passivo de operações descontinuada "," 6699 "," 10017 "
2.02," Passivo Não Circulante "," 3495202 "," 3220417 "
2.02.01," Empréstimos e Financiamentos "," 2852798 "," 2632894 "
2.02.01.01," Empréstimos e Financiamentos "," 2852798 "," 2632894 "
2.02.01.01.01," Em Moeda Nacional "," 2607718 "," 2338018 "
2.02.01.01.02," Em Moeda Estrangeira "," 245080 "," 294876 "
2.02.01.02," Debêntures "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "
2.02.02," Outras Obrigações "," 565938 "," 531038 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.02.02.02," Outros "," 565938 "," 531038 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "
2.02.02.02.03," Impostos e Contribuições "," 10865 "," 7550 "
2.02.02.02.04," Outras Contas "," 44029 "," 35428 "
2.02.02.02.05," Obrigação por recursos de consorciados "," 79360 "," 75396 "
2.02.02.02.06," Contas a pagar por combinação de negócios "," 178575 "," 178268 "
2.02.02.02.07," Arrendamentos IFRS 16 "," 203075 "," 158002 "
2.02.02.02.08," Participações a pagar "," 36743 "," 31117 "
2.02.02.02.09," Captação de recursos de terceiros "," 527 "," 38195 "
2.02.02.02.10," Partes relacionadas "," 12609 "," 7082 "
2.02.02.02.11," Instrumentos financeiros derivativos "," 155 "," 0 "
2.02.03," Tributos Diferidos "," "," "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," "," "
2.02.04," Provisões "," 73034 "," 52627 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 73034 "," 52627 "
2.02.04.01.01," Provisões Fiscais "," 8488 "," 8635 "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 63845 "," 37987 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "
2.02.04.01.04," Provisões Cíveis "," 701 "," 6005 "
2.02.04.02," Outras Provisões "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02.06," Lucros e Receitas a Apropriar "," 3432 "," 3858 "
2.02.06.01," Lucros a Apropriar "," "," "
2.02.06.02," Receitas a Apropriar "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," 3432 "," 3858 "
2.02.06.03.01," Reserva de incentivo fiscal "," 3432 "," 3858 "
2.03," Patrimônio Líquido Consolidado "," 3274740 "," 2664164 "
2.03.01," Capital Social Realizado "," 1293170 "," 1293170 "
2.03.02," Reservas de Capital "," -210412 "," -197522 "
2.03.02.01," Ágio na Emissão de Ações "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "
2.03.02.04," Opções Outorgadas "," "," "
2.03.02.05," Ações em Tesouraria "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "
2.03.02.07," Aquisições Investimentos em Controladas "," -203241 "," -190351 "
2.03.02.08," Reservas de capital "," -7171 "," -7171 "
2.03.03," Reservas de Reavaliação "," "," "
2.03.04," Reservas de Lucros "," 1377392 "," 887918 "
2.03.04.01," Reserva Legal "," 196146 "," 161252 "
2.03.04.02," Reserva Estatutária "," "," "
