Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 723953 "," 576419 "," 450766 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -648440 "," -531712 "," -414171 "
3.03," Resultado Bruto "," 75513 "," 44707 "," 36595 "
3.04," Despesas/Receitas Operacionais "," -20081 "," -16086 "," 2393 "
3.04.01," Despesas com Vendas "," -30597 "," -22030 "," -23326 "
3.04.02," Despesas Gerais e Administrativas "," -30013 "," -23041 "," -20985 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 40105 "," 28727 "," 46527 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 424 "," 258 "," 177 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 55432 "," 28621 "," 38988 "
3.06," Resultado Financeiro "," 4037 "," 2144 "," 3818 "
3.06.01," Receitas Financeiras "," 5958 "," 4042 "," 4862 "
3.06.02," Despesas Financeiras "," -1921 "," -1898 "," -1044 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 59469 "," 30765 "," 42806 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -20442 "," -10750 "," -9269 "
3.08.01," Corrente "," -20442 "," -10750 "," -9269 "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 39027 "," 20015 "," 33537 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 39027 "," 20015 "," 33537 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 896.10000 "," 459.57000 "," 770.04000 "
3.99.01.02," PN "," 952.58000 "," 488.53000 "," 818.57000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 896.10000 "," 459.57000 "," 770.04000 "
3.99.02.02," PN "," 952.58000 "," 488.53000 "," 818.57000 "
