Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 73814613 "," 63123009 "
1.01," Ativo Circulante "," 32640477 "," 23409453 "
1.01.01," Caixa e Equivalentes de Caixa "," 4160654 "," 4617204 "
1.01.02," Aplicações Financeiras "," 2626212 "," 3041143 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 5414075 "," 3737270 "
1.01.03.01," Clientes "," "," "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.04," Estoques "," 16861488 "," 9169417 "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 2887938 "," 2252896 "
1.01.06.01," Tributos Correntes a Recuperar "," 2887938 "," 2252896 "
1.01.06.01.01," Créditos tributários "," 2083885 "," 1201312 "
1.01.06.01.02," Imposto de renda/contribuição social a recuperar "," 804053 "," 1051584 "
1.01.07," Despesas Antecipadas "," "," "
1.01.08," Outros Ativos Circulantes "," 690110 "," 591523 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 690110 "," 591523 "
1.01.08.03.01," Dividendos a receber "," 7671 "," 0 "
1.01.08.03.02," Valor justo de derivativos "," 3246 "," 0 "
1.01.08.03.03," Outros ativos circulantes "," 679193 "," 591523 "
1.02," Ativo Não Circulante "," 41174136 "," 39713556 "
1.02.01," Ativo Realizável a Longo Prazo "," 5292544 "," 6647604 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.02.01.04," Contas a Receber "," "," "
1.02.01.04.01," Clientes "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 2929308 "," 3393354 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 2929308 "," 3393354 "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 2678 "," 134354 "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 2360558 "," 3119896 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Créditos tributários "," 124600 "," 664045 "
1.02.01.10.04," Depósitos Judiciais "," 1659379 "," 1825791 "
1.02.01.10.05," Outros ativos não circulantes "," 571637 "," 590864 "
1.02.01.10.06," Gastos antecipados com plano de pensão "," 4942 "," 39196 "
1.02.01.10.07," Adiantamento para futuro investimento em participação societária "," "," "
1.02.02," Investimentos "," 3340775 "," 2271629 "
1.02.02.01," Participações Societárias "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "
1.02.02.01.05," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 19603530 "," 18068226 "
1.02.03.01," Imobilizado em Operação "," 18741786 "," 17252915 "
1.02.03.01.01," Imobilizado "," 18741786 "," 17252915 "
1.02.03.02," Direito de Uso em Arrendamento "," 861744 "," 815311 "
1.02.03.02.01," Arrendamento mercantil - direito de uso de ativos "," 861744 "," 815311 "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 12937287 "," 12726097 "
1.02.04.01," Intangíveis "," 509760 "," 622578 "
1.02.04.01.01," Contrato de Concessão "," "," "
1.02.04.02," Goodwill "," 12427527 "," 12103519 "
