Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1226179 "," 671243 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -894690 "," -508726 "
3.03," Resultado Bruto "," 331489 "," 162517 "
3.04," Despesas/Receitas Operacionais "," -126616 "," -82092 "
3.04.01," Despesas com Vendas "," -70575 "," -45030 "
3.04.01.01," Perdas pela não recuperabilidade de ativos financeiros "," -349 "," 1128 "
3.04.01.02," Despesas com vendas "," -70226 "," -46158 "
3.04.02," Despesas Gerais e Administrativas "," -57292 "," -48254 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 36007 "," 41336 "
3.04.05," Outras Despesas Operacionais "," -34756 "," -30144 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 204873 "," 80425 "
3.06," Resultado Financeiro "," 2088 "," 8738 "
3.06.01," Receitas Financeiras "," 23847 "," 43190 "
3.06.02," Despesas Financeiras "," -21759 "," -34452 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 206961 "," 89163 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -52326 "," -21513 "
3.08.01," Corrente "," -41421 "," -16355 "
3.08.02," Diferido "," -10905 "," -5158 "
3.09," Resultado Líquido das Operações Continuadas "," 154635 "," 67650 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 154635 "," 67650 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," 67650 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 5.54000 "," 2.57110 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 5.54000 "," 2.57110 "
