Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 22695861 "," 10124347 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -15934094 "," -7247256 "
3.03," Resultado Bruto "," 6761767 "," 2877091 "
3.04," Despesas/Receitas Operacionais "," -6005599 "," -2696518 "
3.04.01," Despesas com Vendas "," -3990108 "," -1705978 "
3.04.02," Despesas Gerais e Administrativas "," -1774476 "," -829353 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -157203 "," -75593 "
3.04.05.02," Honorários Administradores "," "," "
3.04.05.03," Outras (despesas) receitas operacionais "," -157203 "," -75593 "
3.04.06," Resultado de Equivalência Patrimonial "," -83812 "," -85594 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 756168 "," 180573 "
3.06," Resultado Financeiro "," -772404 "," -430176 "
3.06.01," Receitas Financeiras "," 623682 "," 348643 "
3.06.02," Despesas Financeiras "," -1396086 "," -778819 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -16236 "," -249603 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 560031 "," 38845 "
3.08.01," Corrente "," 122723 "," -5022 "
3.08.02," Diferido "," 437308 "," 43867 "
3.09," Resultado Líquido das Operações Continuadas "," 543795 "," -210758 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 543795 "," -210758 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 543795 "," -210758 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.72560 "," -0.39230 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 0.72010 "," 0.00000 "
