Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 19562553 "," 18420508 "
1.01," Ativo Circulante "," 2351999 "," 1743985 "
1.01.01," Caixa e Equivalentes de Caixa "," 1595818 "," 1102652 "
1.01.02," Aplicações Financeiras "," 77751 "," 0 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 328631 "," 384390 "
1.01.03.01," Clientes "," 328631 "," 384390 "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.04," Estoques "," "," "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 36714 "," 65624 "
1.01.06.01," Tributos Correntes a Recuperar "," "," "
1.01.07," Despesas Antecipadas "," "," "
1.01.08," Outros Ativos Circulantes "," 313085 "," 191319 "
1.01.08.01," Ativos Não-Correntes a Venda "," 8428 "," 0 "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 304657 "," 191319 "
1.01.08.03.01," Fundo de liquidez - Conta reserva "," 6153 "," 6740 "
1.01.08.03.02," Partes relacionadas "," 3678 "," 7043 "
1.01.08.03.03," Ordens de projetos - P&D "," 5076 "," 52685 "
1.01.08.03.04," Contratos futuros de energia "," 270815 "," 103139 "
1.01.08.03.05," Outros ativos "," 18935 "," 21712 "
1.02," Ativo Não Circulante "," 17210554 "," 16676523 "
1.02.01," Ativo Realizável a Longo Prazo "," 5858557 "," 6073904 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.02.01.04," Contas a Receber "," "," "
1.02.01.04.01," Clientes "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 3408893 "," 3954680 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 3408893 "," 3954680 "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 66311 "," 11421 "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 2383353 "," 2107803 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Fundo de liquidez – Conta reserva "," 100048 "," 76295 "
1.02.01.10.04," Cauções e depósitos judiciais "," 195968 "," 260496 "
1.02.01.10.05," Almoxarifado "," 6042 "," 6199 "
1.02.01.10.06," Contratos futuros de energia "," 341292 "," 25297 "
1.02.01.10.07," Ativo sujeito à indenização "," 1739161 "," 1739161 "
1.02.01.10.08," Outros ativos "," 842 "," 355 "
1.02.02," Investimentos "," "," "
1.02.02.01," Participações Societárias "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "
1.02.02.01.05," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 8985565 "," 8831851 "
1.02.03.01," Imobilizado em Operação "," 8980282 "," 8825418 "
1.02.03.02," Direito de Uso em Arrendamento "," 5283 "," 6433 "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 2366432 "," 1770768 "
1.02.04.01," Intangíveis "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "
1.02.04.02," Goodwill "," "," "
