Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 8498000 "," 6862000 "
3.01.01," Receita Bruta "," 12091000 "," 9655000 "
3.01.02," (-) Deduções da Receita Bruta "," -3593000 "," -2793000 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -7006000 "," -5780000 "
3.02.01," Custos com Energia Elétrica "," -5547000 "," -4364000 "
3.02.02," Custos de Construção "," -719000 "," -732000 "
3.02.03," Custos de Operação "," -740000 "," -684000 "
3.03," Resultado Bruto "," 1492000 "," 1082000 "
3.04," Despesas/Receitas Operacionais "," -547000 "," -548000 "
3.04.01," Despesas com Vendas "," -72000 "," -70000 "
3.04.02," Despesas Gerais e Administrativas "," -308000 "," -307000 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -167000 "," -171000 "
3.04.05.01," Perdas de Créditos Esperadas "," -167000 "," -171000 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 945000 "," 534000 "
3.06," Resultado Financeiro "," -439000 "," -251000 "
3.06.01," Receitas Financeiras "," 133000 "," 147000 "
3.06.01.01," Receitas Financeiras "," 133000 "," 129000 "
3.06.01.02," Outros Resultados Financeiros, Líquidos "," 0 "," 18000 "
3.06.02," Despesas Financeiras "," -572000 "," -398000 "
3.06.02.01," Despesas Financeiras "," -534000 "," -398000 "
3.06.02.02," Outros Resultados Financeiros, Líquidos "," -38000 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 506000 "," 283000 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -130000 "," -66000 "
3.08.01," Corrente "," -14000 "," -17000 "
3.08.02," Diferido "," -116000 "," -49000 "
3.09," Resultado Líquido das Operações Continuadas "," 376000 "," 217000 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 376000 "," 217000 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 5.04000 "," 2.91000 "
3.99.01.02," PNA "," 5.04000 "," 2.91000 "
3.99.01.03," PNB "," 5.54000 "," 3.20000 "
3.99.02," Lucro Diluído por Ação "," "," "
