Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2702066 "," 2035191 "
3.01.01," Receita líquida "," 2702066 "," 2035191 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1833275 "," -1399514 "
3.02.01," Custo dos serviços prestados "," -1833275 "," -1399514 "
3.03," Resultado Bruto "," 868791 "," 635677 "
3.04," Despesas/Receitas Operacionais "," -691576 "," -616061 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -688050 "," -603609 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," -3526 "," -12452 "
3.04.04.01," Outras receitas (despesas) operacionais, líquidas "," -3526 "," -12452 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 177215 "," 19616 "
3.06," Resultado Financeiro "," -114878 "," -72871 "
3.06.01," Receitas Financeiras "," 66659 "," 21932 "
3.06.02," Despesas Financeiras "," -181537 "," -94803 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 62337 "," -53255 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -84754 "," -68087 "
3.08.01," Corrente "," -84377 "," -81446 "
3.08.02," Diferido "," -377 "," 13359 "
3.09," Resultado Líquido das Operações Continuadas "," -22417 "," -121342 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," -22417 "," -121342 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -46900 "," -157687 "
3.11.02," Atribuído a Sócios Não Controladores "," 24483 "," 36345 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.02," Lucro Diluído por Ação "," "," "
