Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 487870 "," 418561 "," 810763 "
3.01.01," Receita de serviços "," 487870 "," 418561 "," 810763 "
3.01.02," Receitas da construção "," "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -448112 "," -491487 "," -515741 "
3.02.01," Custos de serviços "," -448112 "," -491487 "," -515741 "
3.02.03," Custo da Construção "," "," "," "
3.03," Resultado Bruto "," 39758 "," -72926 "," 295022 "
3.04," Despesas/Receitas Operacionais "," -138916 "," -186600 "," -195226 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -141663 "," -187336 "," -197133 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 2747 "," 736 "," 1907 "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -99158 "," -259526 "," 99796 "
3.06," Resultado Financeiro "," -226408 "," -94135 "," -107068 "
3.06.01," Receitas Financeiras "," 12083 "," 35855 "," 24968 "
3.06.02," Despesas Financeiras "," -238491 "," -129990 "," -132036 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -325566 "," -353661 "," -7272 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 108400 "," 122101 "," 1083 "
3.08.01," Corrente "," 0 "," 2558 "," 150 "
3.08.02," Diferido "," 108400 "," 119543 "," 933 "
3.09," Resultado Líquido das Operações Continuadas "," -217166 "," -231560 "," -6189 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -217166 "," -231560 "," -6189 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.13500 "," -0.16000 "," -0.00400 "
3.99.01.02," PN "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," "," "," "
3.99.02.02," PN "," "," "," "
