Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2342546 "," 1896785 "," 2071034 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1312479 "," -1022330 "," -1126511 "
3.03," Resultado Bruto "," 1030067 "," 874455 "," 944523 "
3.04," Despesas/Receitas Operacionais "," -636545 "," -573256 "," -375162 "
3.04.01," Despesas com Vendas "," -534203 "," -431846 "," -530825 "
3.04.02," Despesas Gerais e Administrativas "," -89462 "," -77471 "," -87631 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 16220 "," 7906 "," 291576 "
3.04.05," Outras Despesas Operacionais "," -29012 "," -71850 "," -48282 "
3.04.05.01," Recorrentes "," -29012 "," -23870 "," -48282 "
3.04.05.02," Não Recorrentes "," 0 "," -47980 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," -88 "," 5 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 393522 "," 301199 "," 569361 "
3.06," Resultado Financeiro "," 159207 "," 137413 "," 374408 "
3.06.01," Receitas Financeiras "," 270031 "," 378478 "," 496467 "
3.06.02," Despesas Financeiras "," -110824 "," -241065 "," -122059 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 552729 "," 438612 "," 943769 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 48276 "," -33406 "," -124552 "
3.08.01," Corrente "," 52106 "," -15679 "," -118940 "
3.08.02," Diferido "," -3830 "," -17727 "," -5612 "
3.09," Resultado Líquido das Operações Continuadas "," 601005 "," 405206 "," 819217 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 601005 "," 405206 "," 819217 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 601005 "," 405206 "," 819217 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.66630 "," 0.44940 "," 0.90840 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.66620 "," 0.44910 "," 0.90700 "
