Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 612684 "," 369188 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -566387 "," -373880 "
3.03," Resultado Bruto "," 46297 "," -4692 "
3.04," Despesas/Receitas Operacionais "," -87153 "," -78955 "
3.04.01," Despesas com Vendas "," -28887 "," -22603 "
3.04.02," Despesas Gerais e Administrativas "," -55883 "," -52411 "
3.04.02.01," Administrativa e Gerais "," -55883 "," -52411 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -2383 "," -3941 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -40856 "," -83647 "
3.06," Resultado Financeiro "," -81282 "," -32663 "
3.06.01," Receitas Financeiras "," 14611 "," 20402 "
3.06.02," Despesas Financeiras "," -95893 "," -53065 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -122138 "," -116310 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -92 "," -703 "
3.08.01," Corrente "," "," "
3.08.02," Diferido "," -92 "," -703 "
3.09," Resultado Líquido das Operações Continuadas "," -122230 "," -117013 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -122230 "," -117013 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 0 "," -117013 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," -9.84000 "," -9.42000 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," -6.15000 "," -5.89000 "
