Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 5724443 "," 5068504 "
1.01," Ativo Circulante "," 915026 "," 717428 "
1.01.01," Caixa e Equivalentes de Caixa "," 373695 "," 303123 "
1.01.02," Aplicações Financeiras "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 273972 "," 201461 "
1.01.03.01," Clientes "," 273972 "," 201461 "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.04," Estoques "," 68626 "," 61134 "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 141635 "," 116815 "
1.01.06.01," Tributos Correntes a Recuperar "," 141635 "," 116815 "
1.01.07," Despesas Antecipadas "," "," "
1.01.08," Outros Ativos Circulantes "," 57098 "," 34895 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 57098 "," 34895 "
1.01.08.03.01," Dividendos a receber "," "," "
1.01.08.03.02," Outros Ativos Circulantes "," 57098 "," 34895 "
1.02," Ativo Não Circulante "," 4809417 "," 4351076 "
1.02.01," Ativo Realizável a Longo Prazo "," 285138 "," 294728 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.02.01.04," Contas a Receber "," "," "
1.02.01.04.01," Clientes "," "," "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 124623 "," 153995 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 124623 "," 153995 "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 60188 "," 53939 "
1.02.01.09.01," Créditos com Coligadas "," 60188 "," 53921 "
1.02.01.09.03," Créditos com Controladores "," 0 "," 18 "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 100327 "," 86794 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Depósitos judiciais "," 19990 "," 25489 "
1.02.01.10.04," Tributos e contribuições a recuperar "," 71521 "," 57195 "
1.02.01.10.05," Outros ativos não circulantes "," 8816 "," 4110 "
1.02.02," Investimentos "," 343494 "," 113031 "
1.02.02.01," Participações Societárias "," 343494 "," 113031 "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," 343494 "," 113031 "
1.02.02.01.05," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 4023119 "," 3785359 "
1.02.03.01," Imobilizado em Operação "," 3088662 "," 3008088 "
1.02.03.02," Direito de Uso em Arrendamento "," 880990 "," 775753 "
1.02.03.03," Imobilizado em Andamento "," 53467 "," 1518 "
1.02.04," Intangível "," 157666 "," 157958 "
1.02.04.01," Intangíveis "," 157666 "," 157958 "
1.02.04.01.01," Contrato de Concessão "," 53310 "," 52805 "
1.02.04.01.02," Sistemas aplicativos softwares "," 30038 "," 35121 "
1.02.04.01.03," Marcas e patentes "," 251 "," 246 "
1.02.04.01.04," Ágio em investimentos "," 74067 "," 69786 "
1.02.04.02," Goodwill "," "," "
