Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 23249904 "," 13343496 "
1.01," Ativo Circulante "," 6867533 "," 4210871 "
1.01.01," Caixa e Equivalentes de Caixa "," 1143026 "," 753607 "
1.01.02," Aplicações Financeiras "," 2471032 "," 760816 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," 2471032 "," 760816 "
1.01.02.01.01," Títulos para Negociação "," 2471032 "," 760816 "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 2305316 "," 1743233 "
1.01.03.01," Clientes "," 2305316 "," 1743233 "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.04," Estoques "," 367124 "," 357800 "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 392908 "," 260035 "
1.01.06.01," Tributos Correntes a Recuperar "," 392908 "," 260035 "
1.01.07," Despesas Antecipadas "," 26536 "," 12178 "
1.01.08," Outros Ativos Circulantes "," 161591 "," 323202 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 161591 "," 323202 "
1.01.08.03.01," Instrumentos Financeiros Derivativos "," 22626 "," 26201 "
1.01.08.03.03," Venda de Participação Societária "," "," "
1.01.08.03.04," Opção de compra obtida de acionistas não controladores "," 138965 "," 6147 "
1.01.08.03.20," Outros Créditos "," 0 "," 290854 "
1.02," Ativo Não Circulante "," 16382371 "," 9132625 "
1.02.01," Ativo Realizável a Longo Prazo "," 1406333 "," 665072 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," 29477 "," 38505 "
1.02.01.03.01," Títulos para Negociação "," "," "
1.02.01.03.02," Títulos Vinculados "," 29477 "," 38505 "
1.02.01.04," Contas a Receber "," 6961 "," 2653 "
1.02.01.04.01," Clientes "," 6961 "," 2653 "
1.02.01.04.02," Outras Contas a Receber "," "," "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 859478 "," 448790 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 859478 "," 448790 "
1.02.01.08," Despesas Antecipadas "," 433 "," 607 "
1.02.01.09," Créditos com Partes Relacionadas "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 509984 "," 174517 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Opção de compra obtida de acionistas não controladores "," 14482 "," 1322 "
1.02.01.10.04," Depósitos Judiciais "," 84287 "," 100303 "
1.02.01.10.05," Outros Ativos Não Circulantes "," 308371 "," 13414 "
1.02.01.10.06," Venda de Participação Societária "," "," "
1.02.01.10.07," Instrumentos Financeiros Derivativos "," 41677 "," 39203 "
1.02.01.10.08," Tributos a Recuperar "," 61167 "," 20275 "
1.02.02," Investimentos "," 1030 "," 4332 "
1.02.02.01," Participações Societárias "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "
1.02.02.01.05," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," 1030 "," 4332 "
1.02.02.02.01," Outros "," 1030 "," 4332 "
1.02.03," Imobilizado "," 5743308 "," 3993888 "
1.02.03.01," Imobilizado em Operação "," 3778971 "," 2608954 "
1.02.03.02," Direito de Uso em Arrendamento "," 1964337 "," 1384934 "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 9231700 "," 4469333 "
1.02.04.01," Intangíveis "," 9231700 "," 4469333 "
1.02.04.01.01," Contrato de Concessão "," "," "
1.02.04.01.02," Intangíveis "," 9231700 "," 4469333 "
1.02.04.02," Goodwill "," "," "
