Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 1541268 "," 2135552 "
1.01," Ativo Circulante "," 1499544 "," 2077314 "
1.01.01," Caixa e Equivalentes de Caixa "," 229703 "," 46433 "
1.01.02," Aplicações Financeiras "," 1261846 "," 2028059 "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," "," "
1.01.03.01," Clientes "," "," "
1.01.03.02," Outras Contas a Receber "," "," "
1.01.04," Estoques "," "," "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 7890 "," 2226 "
1.01.06.01," Tributos Correntes a Recuperar "," 7890 "," 2226 "
1.01.07," Despesas Antecipadas "," "," "
1.01.08," Outros Ativos Circulantes "," 105 "," 596 "
1.01.08.01," Ativos Não-Correntes a Venda "," "," "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 105 "," 596 "
1.01.08.03.01," Outros créditos "," 105 "," 596 "
1.02," Ativo Não Circulante "," 41724 "," 58238 "
1.02.01," Ativo Realizável a Longo Prazo "," 41617 "," 57876 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.02.01.04," Contas a Receber "," 1976 "," 1016 "
1.02.01.04.01," Contas a receber de partes relacionadas "," 1976 "," 1016 "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 39557 "," 56732 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," 39557 "," 56732 "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," "," "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.02," Créditos com Controladas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 84 "," 128 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.03," Outros créditos "," 84 "," 128 "
1.02.02," Investimentos "," "," "
1.02.02.01," Participações Societárias "," "," "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.02," Participações em Controladas "," "," "
1.02.02.01.03," Participações em Controladas em Conjunto "," "," "
1.02.02.01.04," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," "," "
1.02.03," Imobilizado "," 107 "," 362 "
1.02.03.01," Imobilizado em Operação "," "," "
1.02.03.02," Direito de Uso em Arrendamento "," "," "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," "," "
1.02.04.01," Intangíveis "," "," "
1.02.04.01.01," Contrato de Concessão "," "," "
