Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1842434 "," 1765338 "
3.01.01," Contraprestações Líquidas/Prêmios Retidos "," 1898595 "," 1831222 "
3.01.02," Vendas de Bens e Serviços "," 16406 "," 13445 "
3.01.03," Variação das Provisões Técnicas "," "," "
3.01.04," Tributos Diretos de Operações com Planos de Assistência à Saúde da Operadora "," -82827 "," -83415 "
3.01.05," Impostos sobre Vendas de Bens e Seviços "," -14247 "," -12721 "
3.01.06," Seguros "," 24507 "," 16807 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -731477 "," -713143 "
3.02.01," Eventos/Sinistros Conhecidos ou Avisados "," -688291 "," -662534 "
3.02.02," Encargos Sociais sobre Serviços "," -98 "," -7 "
3.02.03," Materiais Odontológicos "," -8805 "," -7373 "
3.02.04," Demais Custos Operacionais "," -22194 "," -44285 "
3.02.05," Variação da Provisão de Eventos/Sinistros Ocorridos e Não Avisados (PEONA) "," -6921 "," 3544 "
3.02.06," Sinistros "," -4926 "," -2621 "
3.02.07," Reservas Técnicas de Sinistros "," -242 "," 133 "
3.03," Resultado Bruto "," 1110957 "," 1052195 "
3.04," Despesas/Receitas Operacionais "," -603005 "," -537332 "
3.04.01," Despesas com Vendas "," -191096 "," -193787 "
3.04.01.01," Despesas de Comercialização "," -191096 "," -193787 "
3.04.02," Despesas Gerais e Administrativas "," -332384 "," -281186 "
3.04.02.01," Despesas Administrativas "," -325459 "," -281257 "
3.04.02.02," Amortização do Direito de Uso (CPC 06 (R2)/IFRS 16) "," -5822 "," -5113 "
3.04.02.03," Alugueis "," -7213 "," -5255 "
3.04.02.04," Alugueis (CPC 06 (R2)/IFRS 16) "," 7234 "," 10295 "
3.04.02.05," Resultado na Alienação ou Baixa de Bens do Ativo Não Circulante e Outros "," -1124 "," 144 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 4302 "," 4639 "
3.04.04.01," Outras Receitas Operacionais de Planos de Assistência à Saúde "," 2792 "," 2365 "
3.04.04.02," Receitas de Assistência à Saúde não Relacionados com Planos de Saúde da Operadora "," 1510 "," 2274 "
3.04.05," Outras Despesas Operacionais "," -90385 "," -73671 "
3.04.05.01," Outorga de Opções de Ações "," "," "
3.04.05.02," Provisão para Perdas sobre Créditos "," -48920 "," -48659 "
3.04.05.03," Participações no Resultado "," -24082 "," -13239 "
3.04.05.04," Programa de Incentivo de Longo Prazo (ILP) "," -17383 "," -11773 "
3.04.06," Resultado de Equivalência Patrimonial "," 6559 "," 6673 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 507952 "," 514863 "
3.06," Resultado Financeiro "," 39226 "," 5148 "
3.06.01," Receitas Financeiras "," 54283 "," 21079 "
3.06.01.01," Receitas Financeiras "," 54283 "," 21079 "
3.06.02," Despesas Financeiras "," -15057 "," -15931 "
3.06.02.01," Despesas Financeiras "," -64306 "," -65054 "
3.06.02.02," Ajuste a Valor Presente (AVP) do Passivo de Arrendamento (CPC 06 (R2)/IFRS 16) "," -2983 "," -3895 "
3.06.02.03," Reversão de Juros Sobre Capital Próprio "," 52232 "," 53018 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 547178 "," 520011 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -165838 "," -160290 "
3.08.01," Corrente "," -158274 "," -154441 "
3.08.02," Diferido "," -7564 "," -5849 "
3.09," Resultado Líquido das Operações Continuadas "," 381340 "," 359721 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 381340 "," 359721 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 380359 "," 361128 "
3.11.02," Atribuído a Sócios Não Controladores "," 981 "," -1407 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.72217 "," 0.68104 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 0.72128 "," 0.67990 "
