Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 2138715 "," 1815603 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1165520 "," -1001044 "
3.03," Resultado Bruto "," 973195 "," 814559 "
3.04," Despesas/Receitas Operacionais "," -445672 "," -420979 "
3.04.01," Despesas com Vendas "," -12469 "," -27220 "
3.04.02," Despesas Gerais e Administrativas "," -412458 "," -356431 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -1824 "," 1969 "
3.04.04," Outras Receitas Operacionais "," 15164 "," 19917 "
3.04.05," Outras Despesas Operacionais "," -2288 "," -30447 "
3.04.06," Resultado de Equivalência Patrimonial "," -31797 "," -28767 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 527523 "," 393580 "
3.06," Resultado Financeiro "," -153629 "," -138804 "
3.06.01," Receitas Financeiras "," 29628 "," 42265 "
3.06.01.01," Rendimento de aplicações financeiras "," 13375 "," 6395 "
3.06.01.02," Receita de atualização de depósitos judiciais "," 4304 "," 0 "
3.06.01.03," Receita de juros de mútuos - partes relacionadas "," 1768 "," 1719 "
3.06.01.04," Descontos obtidos "," 6616 "," 5505 "
3.06.01.05," Receita de atualização de tributos "," 2311 "," 1772 "
3.06.01.06," Ganhos cambiais em investimentos "," 0 "," 23713 "
3.06.01.07," Outras receitas financeiras "," 1254 "," 1050 "
3.06.01.08," Juros sobre capital próprio "," 0 "," 2111 "
3.06.02," Despesas Financeiras "," -183257 "," -181069 "
3.06.02.01," Juros de empréstimos e financiamentos "," -87618 "," -52808 "
3.06.02.02," Juros sobre arrendamentos "," -74704 "," -65950 "
3.06.02.03," Atualização de depósitos judiciais "," 0 "," -1794 "
3.06.02.04," Outros juros "," -1362 "," -774 "
3.06.02.05," Outras despesas financeiras "," -4642 "," -8832 "
3.06.02.06," Perdas cambiais em investimentos "," -191 "," 0 "
3.06.02.07," Perda cambial na conversão "," -14740 "," -50911 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 373894 "," 254776 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -150135 "," -133415 "
3.08.01," Corrente "," -131036 "," -152083 "
3.08.02," Diferido "," -19099 "," 18668 "
3.09," Resultado Líquido das Operações Continuadas "," 223759 "," 121361 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 223759 "," 121361 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 215064 "," 115861 "
3.11.02," Atribuído a Sócios Não Controladores "," 8695 "," 5500 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 2.95170 "," 0.91810 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 2.89120 "," 0.91810 "
