Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
1," Ativo Total "," 49443000 "," 53295000 "
1.01," Ativo Circulante "," 17872000 "," 17641000 "
1.01.01," Caixa e Equivalentes de Caixa "," 8274000 "," 8711000 "
1.01.02," Aplicações Financeiras "," "," "
1.01.02.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.01.02.01.01," Títulos para Negociação "," "," "
1.01.02.01.02," Títulos Designados a Valor Justo "," "," "
1.01.02.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.01.02.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.01.03," Contas a Receber "," 1125000 "," 1051000 "
1.01.03.01," Clientes "," 831000 "," 686000 "
1.01.03.02," Outras Contas a Receber "," 294000 "," 365000 "
1.01.04," Estoques "," 5257000 "," 6536000 "
1.01.05," Ativos Biológicos "," "," "
1.01.06," Tributos a Recuperar "," 1743000 "," 983000 "
1.01.06.01," Tributos Correntes a Recuperar "," "," "
1.01.07," Despesas Antecipadas "," "," "
1.01.08," Outros Ativos Circulantes "," 1473000 "," 360000 "
1.01.08.01," Ativos Não-Correntes a Venda "," 1187000 "," 109000 "
1.01.08.02," Ativos de Operações Descontinuadas "," "," "
1.01.08.03," Outros "," 286000 "," 251000 "
1.01.08.03.01," Instrumentos Financeiros Derivativos "," 19000 "," 0 "
1.01.08.03.02," Dividendos a receber "," 16000 "," 0 "
1.01.08.03.03," Outros Ativos Circulantes "," 251000 "," 251000 "
1.02," Ativo Não Circulante "," 31571000 "," 35654000 "
1.02.01," Ativo Realizável a Longo Prazo "," 4966000 "," 4713000 "
1.02.01.01," Aplicações Financeiras Avaliadas a Valor Justo através do Resultado "," "," "
1.02.01.01.01," Títulos Designados a Valor Justo "," "," "
1.02.01.02," Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes "," "," "
1.02.01.03," Aplicações Financeiras Avaliadas ao Custo Amortizado "," "," "
1.02.01.04," Contas a Receber "," 559000 "," 676000 "
1.02.01.04.01," Clientes "," 1000 "," 5000 "
1.02.01.04.02," Outras Contas a Receber "," 558000 "," 671000 "
1.02.01.05," Estoques "," "," "
1.02.01.06," Ativos Biológicos "," "," "
1.02.01.07," Tributos Diferidos "," 581000 "," 0 "
1.02.01.07.01," Imposto de Renda e Contribuição Social Diferidos "," "," "
1.02.01.08," Despesas Antecipadas "," "," "
1.02.01.09," Créditos com Partes Relacionadas "," 517000 "," 154000 "
1.02.01.09.01," Créditos com Coligadas "," "," "
1.02.01.09.03," Créditos com Controladores "," "," "
1.02.01.09.04," Créditos com Outras Partes Relacionadas "," "," "
1.02.01.10," Outros Ativos Não Circulantes "," 3309000 "," 3883000 "
1.02.01.10.01," Ativos Não-Correntes a Venda "," "," "
1.02.01.10.02," Ativos de Operações Descontinuadas "," "," "
1.02.01.10.04," Tributos a Recuperar "," 2410000 "," 3100000 "
1.02.01.10.05," Depósitos Judiciais "," 731000 "," 563000 "
1.02.01.10.06," Instrumentos Financeiros Derivativos "," 6000 "," 12000 "
1.02.01.10.07," Outros ativos não circulantes "," 162000 "," 208000 "
1.02.02," Investimentos "," 4508000 "," 4889000 "
1.02.02.01," Participações Societárias "," 1254000 "," 1250000 "
1.02.02.01.01," Participações em Coligadas "," "," "
1.02.02.01.04," Participações em Controladas em Conjunto "," "," "
1.02.02.01.05," Outros Investimentos "," "," "
1.02.02.02," Propriedades para Investimento "," 3254000 "," 3639000 "
1.02.03," Imobilizado "," 16344000 "," 19888000 "
1.02.03.01," Imobilizado em Operação "," 11573000 "," 13371000 "
1.02.03.02," Direito de Uso em Arrendamento "," 4771000 "," 6517000 "
1.02.03.03," Imobilizado em Andamento "," "," "
1.02.04," Intangível "," 5753000 "," 6164000 "
1.02.04.01," Intangíveis "," 5753000 "," 6164000 "
1.02.04.01.01," Contrato de Concessão "," "," "
1.02.04.01.02," Intangíveis "," 5312000 "," 5561000 "
1.02.04.01.03," Direito de Uso Intangível "," 441000 "," 603000 "
1.02.04.02," Goodwill "," "," "
