Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
2," Passivo Total "," 2546663 "," 2426885 "
2.01," Passivo Circulante "," 317219 "," 374760 "
2.01.01," Obrigações Sociais e Trabalhistas "," "," "
2.01.01.01," Obrigações Sociais "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "
2.01.02," Fornecedores "," 11745 "," 29510 "
2.01.02.01," Fornecedores Nacionais "," 11745 "," 29510 "
2.01.02.02," Fornecedores Estrangeiros "," "," "
2.01.03," Obrigações Fiscais "," 17550 "," 24165 "
2.01.03.01," Obrigações Fiscais Federais "," 17550 "," 24165 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 17550 "," 24165 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "
2.01.04," Empréstimos e Financiamentos "," 147843 "," 134386 "
2.01.04.01," Empréstimos e Financiamentos "," "," "
2.01.04.01.01," Em Moeda Nacional "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "
2.01.04.02," Debêntures "," 147843 "," 134386 "
2.01.04.03," Financiamento por Arrendamento "," "," "
2.01.05," Outras Obrigações "," 140081 "," 186699 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.01.05.02," Outros "," 140081 "," 186699 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "
2.01.05.02.04," Dividendos "," 80856 "," 140833 "
2.01.05.02.05," Indenização de sinistros a apropriar "," 11227 "," 23909 "
2.01.05.02.06," Perdas não realizadas em operações de hedge sobre debêntures "," 29395 "," 9059 "
2.01.05.02.07," Outros passivos circulantes "," 18603 "," 12898 "
2.01.05.02.08," Adiantamento de indenização de sinistros "," "," "
2.01.05.02.09," Outros passivos circulantes "," "," "
2.01.06," Provisões "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "
2.01.06.02," Outras Provisões "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02," Passivo Não Circulante "," 906240 "," 919662 "
2.02.01," Empréstimos e Financiamentos "," 727150 "," 803219 "
2.02.01.01," Empréstimos e Financiamentos "," "," "
2.02.01.01.01," Em Moeda Nacional "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "
2.02.01.02," Debêntures "," 727150 "," 803219 "
2.02.01.03," Financiamento por Arrendamento "," "," "
2.02.02," Outras Obrigações "," 15686 "," 18389 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "
2.02.02.01.02," Débitos com Controladas "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.02.02.02," Outros "," 15686 "," 18389 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "
