Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 14265000 "," 11285000 "
3.01.01," Receita Bruta "," 19276000 "," 15369000 "
3.01.02," (-) Deduções da Receita Bruta "," -5011000 "," -4084000 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -10693000 "," -8732000 "
3.02.01," Custos com Energia Elétrica "," -7164000 "," -5702000 "
3.02.02," Custos de Construção "," -2149000 "," -1855000 "
3.02.03," Custos de Operação "," -1380000 "," -1175000 "
3.03," Resultado Bruto "," 3572000 "," 2553000 "
3.04," Despesas/Receitas Operacionais "," -754000 "," -742000 "
3.04.01," Despesas com Vendas "," -98000 "," -112000 "
3.04.02," Despesas Gerais e Administrativas "," -501000 "," -486000 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -155000 "," -144000 "
3.04.05.01," Perdas de Créditos Esperadas "," -155000 "," -144000 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 2818000 "," 1811000 "
3.06," Resultado Financeiro "," -757000 "," -353000 "
3.06.01," Receitas Financeiras "," 223000 "," 260000 "
3.06.01.01," Receitas Financeiras "," 223000 "," 224000 "
3.06.01.02," Outros Resultados Financeiros, Líquidos "," 0 "," 36000 "
3.06.02," Despesas Financeiras "," -980000 "," -613000 "
3.06.02.01," Despesas Financeiras "," -881000 "," -613000 "
3.06.02.02," Outros Resultados Financeiros, Líquidos "," -99000 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 2061000 "," 1458000 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -392000 "," -239000 "
3.08.01," Corrente "," -180000 "," -161000 "
3.08.02," Diferido "," -212000 "," -78000 "
3.09," Resultado Líquido das Operações Continuadas "," 1669000 "," 1219000 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 1669000 "," 1219000 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 6.17000 "," 4.51000 "
3.99.01.02," PNA "," 6.17000 "," 4.51000 "
3.99.01.03," PNB "," 6.79000 "," 4.96000 "
3.99.02," Lucro Diluído por Ação "," "," "
