Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1912127 "," 1331780 "," 1114269 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1085039 "," -871338 "," -751650 "
3.03," Resultado Bruto "," 827088 "," 460442 "," 362619 "
3.04," Despesas/Receitas Operacionais "," -538347 "," -344863 "," -287548 "
3.04.01," Despesas com Vendas "," -421287 "," -319148 "," -306437 "
3.04.02," Despesas Gerais e Administrativas "," -68980 "," -44923 "," -40873 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 0 "," 19208 "," 59762 "
3.04.05," Outras Despesas Operacionais "," -48080 "," 0 "," 0 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 288741 "," 115579 "," 75071 "
3.06," Resultado Financeiro "," -59232 "," -30014 "," -75112 "
3.06.01," Receitas Financeiras "," 30735 "," 47948 "," 16459 "
3.06.02," Despesas Financeiras "," -89967 "," -77962 "," -91571 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 229509 "," 85565 "," -41 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -13287 "," 42677 "," 13204 "
3.08.01," Corrente "," -27996 "," -21962 "," -11286 "
3.08.02," Diferido "," 14709 "," 64639 "," 24490 "
3.09," Resultado Líquido das Operações Continuadas "," 216222 "," 128242 "," 13163 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 216222 "," 128242 "," 13163 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 216173 "," 128200 "," 13128 "
3.11.02," Atribuído a Sócios Não Controladores "," 49 "," 42 "," 35 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.46436 "," 0.82544 "," 0.08283 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 1.46436 "," 0.82544 "," 0.08283 "
