Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 582475 "," 412396 "," 381603 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -204161 "," -127568 "," -120534 "
3.03," Resultado Bruto "," 378314 "," 284828 "," 261069 "
3.04," Despesas/Receitas Operacionais "," -241092 "," -166203 "," -178452 "
3.04.01," Despesas com Vendas "," -90884 "," -59764 "," -64273 "
3.04.02," Despesas Gerais e Administrativas "," -74981 "," -45367 "," -58380 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," -1998 "," 1940 "," 1141 "
3.04.04.01," Outras (despesas)/receitas operacionais, liquidas "," -1998 "," 1940 "," 1141 "
3.04.05," Outras Despesas Operacionais "," -73317 "," -62989 "," -55845 "
3.04.05.01," Pesquisa e desenvolvimento "," -73317 "," -62989 "," -55845 "
3.04.06," Resultado de Equivalência Patrimonial "," 88 "," -23 "," -1095 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 137222 "," 118625 "," 82617 "
3.06," Resultado Financeiro "," 1310 "," -2256 "," -1267 "
3.06.01," Receitas Financeiras "," 8480 "," 4807 "," 6957 "
3.06.02," Despesas Financeiras "," -7170 "," -7063 "," -8224 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 138532 "," 116369 "," 81350 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -35158 "," -28306 "," -17212 "
3.08.01," Corrente "," -30128 "," -23150 "," -14710 "
3.08.02," Diferido "," -5030 "," -5156 "," -2502 "
3.09," Resultado Líquido das Operações Continuadas "," 103374 "," 88063 "," 64138 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," 103374 "," 88063 "," 64138 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 101894 "," 87818 "," 64054 "
3.11.02," Atribuído a Sócios Não Controladores "," 1480 "," 245 "," 84 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 82.22000 "," 70.91000 "," 51.53000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 82.22000 "," 70.91000 "," 51.53000 "
