Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 214790 "," 241525 "," 487431 "
3.01.01," Receita de implementação de infraestrutura, operação, manutenção e outras, líquidas "," 70104 "," 129772 "," 430935 "
3.01.02," Receita de remuneração de ativo de contrato, líquida de PIS e COFINS "," 144686 "," 111753 "," 56496 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -125546 "," -145353 "," -283189 "
3.03," Resultado Bruto "," 89244 "," 96172 "," 204242 "
3.04," Despesas/Receitas Operacionais "," -3348 "," -505 "," 0 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -3348 "," -505 "," 0 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 85896 "," 95667 "," 204242 "
3.06," Resultado Financeiro "," -54813 "," -623 "," -6784 "
3.06.01," Receitas Financeiras "," 1504 "," 0 "," 0 "
3.06.02," Despesas Financeiras "," -56317 "," -623 "," -6784 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 31083 "," 95044 "," 197458 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -10552 "," -19960 "," -78040 "
3.08.01," Corrente "," -5911 "," 0 "," 0 "
3.08.02," Diferido "," -4641 "," -19960 "," -78040 "
3.09," Resultado Líquido das Operações Continuadas "," 20531 "," 75084 "," 119418 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 20531 "," 75084 "," 119418 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.13980 "," 0.51130 "," 1.21830 "
3.99.01.02," PN "," "," "," "
3.99.01.03," PNA "," "," "," "
3.99.01.04," PNB "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.13980 "," 0.51130 "," 1.21830 "
3.99.02.02," PN "," "," "," "
3.99.02.03," PNA "," "," "," "
3.99.02.04," PNB "," "," "," "
