Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
2," Passivo Total "," 1505231 "," 1099351 "
2.01," Passivo Circulante "," 523161 "," 347310 "
2.01.01," Obrigações Sociais e Trabalhistas "," 49996 "," 51409 "
2.01.01.01," Obrigações Sociais "," 49996 "," 51409 "
2.01.01.02," Obrigações Trabalhistas "," "," "
2.01.02," Fornecedores "," 138738 "," 131103 "
2.01.02.01," Fornecedores Nacionais "," 138738 "," 131103 "
2.01.02.02," Fornecedores Estrangeiros "," "," "
2.01.03," Obrigações Fiscais "," 19346 "," 23506 "
2.01.03.01," Obrigações Fiscais Federais "," 19346 "," 23506 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 3739 "," 7376 "
2.01.03.01.02," Obrigações tributárias "," 11792 "," 10780 "
2.01.03.01.03," Parcelamento Tributário "," 3815 "," 5350 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "
2.01.04," Empréstimos e Financiamentos "," 297142 "," 116708 "
2.01.04.01," Empréstimos e Financiamentos "," 226723 "," 45070 "
2.01.04.01.01," Em Moeda Nacional "," 226723 "," 45070 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "
2.01.04.02," Debêntures "," "," "
2.01.04.03," Financiamento por Arrendamento "," 70419 "," 71638 "
2.01.04.03.01," Passivo de Arrendamento "," 70419 "," 71638 "
2.01.05," Outras Obrigações "," 17939 "," 24584 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.01.05.02," Outros "," 17939 "," 24584 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 1501 "," 10433 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "
2.01.05.02.04," Instrumento financeiro derivativo "," 3821 "," 0 "
