Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
2," Passivo Total "," 19982609 "," 15027676 "
2.01," Passivo Circulante "," 5073494 "," 4087148 "
2.01.01," Obrigações Sociais e Trabalhistas "," 104404 "," 74543 "
2.01.01.01," Obrigações Sociais "," "," "
2.01.01.02," Obrigações Trabalhistas "," 104404 "," 74543 "
2.01.01.02.01," Ordenados e salários a pagar "," "," "
2.01.02," Fornecedores "," 1798977 "," 1182111 "
2.01.02.01," Fornecedores Nacionais "," 1798977 "," 1182111 "
2.01.02.02," Fornecedores Estrangeiros "," "," "
2.01.03," Obrigações Fiscais "," 270782 "," 491830 "
2.01.03.01," Obrigações Fiscais Federais "," 270782 "," 491830 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 15593 "," 321711 "
2.01.03.01.02," Outros tributos a pagar "," 255189 "," 170119 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "
2.01.04," Empréstimos e Financiamentos "," 2293955 "," 1789785 "
2.01.04.01," Empréstimos e Financiamentos "," 2288960 "," 1787503 "
2.01.04.01.01," Em Moeda Nacional "," 2272834 "," 1308728 "
2.01.04.01.02," Em Moeda Estrangeira "," 16126 "," 478775 "
2.01.04.02," Debêntures "," "," "
2.01.04.03," Financiamento por Arrendamento "," 4995 "," 2282 "
2.01.05," Outras Obrigações "," 605376 "," 548879 "
2.01.05.01," Passivos com Partes Relacionadas "," 12204 "," 18777 "
2.01.05.01.01," Débitos com Coligadas "," "," "
2.01.05.01.03," Débitos com Controladores "," 12204 "," 18777 "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.01.05.02," Outros "," 593172 "," 530102 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 2035 "," 1688 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "
2.01.05.02.04," Instrumentos financeiros derivativos "," 317699 "," 286018 "
2.01.05.02.05," Outros tributos a pagar "," "," "
2.01.05.02.06," Outros passivos financeiros "," 91933 "," 95428 "
2.01.05.02.07," Passivos setoriais "," 85866 "," 91912 "
2.01.05.02.08," Outras contas a pagar "," 95639 "," 55056 "
2.01.05.02.09," Arrendamentos "," "," "
2.01.06," Provisões "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "
2.01.06.02," Outras Provisões "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02," Passivo Não Circulante "," 8536002 "," 7594604 "
2.02.01," Empréstimos e Financiamentos "," 5437784 "," 5264444 "
2.02.01.01," Empréstimos e Financiamentos "," 5379027 "," 5256406 "
2.02.01.01.01," Em Moeda Nacional "," 4541952 "," 4842407 "
2.02.01.01.02," Em Moeda Estrangeira "," 837075 "," 413999 "
2.02.01.02," Debêntures "," "," "
2.02.01.03," Financiamento por Arrendamento "," 58757 "," 8038 "
2.02.02," Outras Obrigações "," 1331720 "," 479656 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.02.02.02," Outros "," 1331720 "," 479656 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "
2.02.02.02.03," Outros tributos a pagar "," 5070 "," 5657 "
2.02.02.02.04," Passivos setoriais "," 1286417 "," 473999 "
2.02.02.02.05," Arrendamentos "," "," "
2.02.02.02.06," Instrumentos financeiros derivativos "," 40233 "," 0 "
2.02.03," Tributos Diferidos "," 1211072 "," 1211692 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 1211072 "," 1211692 "
2.02.04," Provisões "," 555426 "," 638812 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 84901 "," 74236 "
2.02.04.01.01," Provisões Fiscais "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "
2.02.04.01.05," Provisões Cíveis, ambientais e regulatórias "," "," "
2.02.04.01.06," Provisão para demandas judiciais "," 84901 "," 74236 "
2.02.04.02," Outras Provisões "," 470525 "," 564576 "
2.02.04.02.01," Provisões para Garantias "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.02.04.02.04," Obrigações de benefício pós-emprego "," 470525 "," 564576 "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "
2.02.06.01," Lucros a Apropriar "," "," "
2.02.06.02," Receitas a Apropriar "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "
2.03," Patrimônio Líquido "," 6373113 "," 3345924 "
2.03.01," Capital Social Realizado "," 2272500 "," 628488 "
2.03.02," Reservas de Capital "," 2886216 "," 2311508 "
2.03.02.01," Ágio na Emissão de Ações "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "
2.03.02.04," Opções Outorgadas "," "," "
2.03.02.05," Ações em Tesouraria "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "
2.03.02.07," Efeito da distribuição de dividendos para não controladores "," "," "
2.03.02.08," Reserva de Capital "," "," "
2.03.03," Reservas de Reavaliação "," "," "
2.03.04," Reservas de Lucros "," 1058012 "," 325401 "
2.03.04.01," Reserva Legal "," "," "
2.03.04.02," Reserva Estatutária "," "," "
2.03.04.03," Reserva para Contingências "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," 1058012 "," 325401 "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "
2.03.04.09," Ações em Tesouraria "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," "," "
2.03.06," Ajustes de Avaliação Patrimonial "," 127919 "," 55798 "
2.03.07," Ajustes Acumulados de Conversão "," "," "
2.03.08," Outros Resultados Abrangentes "," "," "
2.03.09," Participação dos Acionistas Não Controladores "," 28466 "," 24729 "
