Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
2," Passivo Total "," 73814613 "," 63123009 "
2.01," Passivo Circulante "," 14036814 "," 11482143 "
2.01.01," Obrigações Sociais e Trabalhistas "," 1199143 "," 591653 "
2.01.01.01," Obrigações Sociais "," 1199143 "," 591653 "
2.01.01.01.01," Salários a pagar "," 1199143 "," 591653 "
2.01.01.02," Obrigações Trabalhistas "," "," "
2.01.02," Fornecedores "," 8017140 "," 5437953 "
2.01.02.01," Fornecedores Nacionais "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "
2.01.03," Obrigações Fiscais "," 1411309 "," 1410214 "
2.01.03.01," Obrigações Fiscais Federais "," 1411309 "," 1410214 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 863136 "," 810125 "
2.01.03.01.02," Impostos e contribuições sociais a recolher "," 548173 "," 600089 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "
2.01.04," Empréstimos e Financiamentos "," 1766493 "," 1431506 "
2.01.04.01," Empréstimos e Financiamentos "," 234537 "," 1424043 "
2.01.04.01.01," Em Moeda Nacional "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "
2.01.04.02," Debêntures "," 1531956 "," 7463 "
2.01.04.03," Financiamento por Arrendamento "," "," "
2.01.05," Outras Obrigações "," 1365521 "," 1539341 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.01.05.02," Outros "," 1365521 "," 1539341 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "
2.01.05.02.04," Dividendos a pagar "," 0 "," 510348 "
2.01.05.02.05," Arrendamento mercantil a pagar "," 275086 "," 231703 "
2.01.05.02.06," Beneficios a empregados "," 39 "," 208 "
2.01.05.02.07," Outros passivos circulantes "," 1090396 "," 797082 "
2.01.05.02.08," Valor justo de derivativos "," "," "
2.01.06," Provisões "," 277208 "," 1071476 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "
2.01.06.02," Outras Provisões "," 277208 "," 1071476 "
2.01.06.02.01," Provisões para Garantias "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," 231711 "," 125992 "
2.01.06.02.04," Valor justo de derivativos "," 0 "," 971 "
2.01.06.02.05," Obrigações com FIDC "," 45497 "," 944513 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02," Passivo Não Circulante "," 16962150 "," 20555656 "
2.02.01," Empréstimos e Financiamentos "," 12273200 "," 16083845 "
2.02.01.01," Empréstimos e Financiamentos "," 10875249 "," 13188891 "
2.02.01.01.01," Em Moeda Nacional "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "
2.02.01.02," Debêntures "," 1397951 "," 2894954 "
