Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "
3.03," Resultado Bruto "," "," "
3.04," Despesas/Receitas Operacionais "," -24393 "," -23139 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -14200 "," -13801 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," -10193 "," -9338 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -24393 "," -23139 "
3.06," Resultado Financeiro "," 215836 "," 311423 "
3.06.01," Receitas Financeiras "," 216949 "," 311756 "
3.06.02," Despesas Financeiras "," -1113 "," -333 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 191443 "," 288284 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -63822 "," -96471 "
3.08.01," Corrente "," -46647 "," -75134 "
3.08.02," Diferido "," -17175 "," -21337 "
3.09," Resultado Líquido das Operações Continuadas "," 127621 "," 191813 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 127621 "," 191813 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.05650 "," 0.08490 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 0.05650 "," 0.08490 "
