Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 317607 "," 118202 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -261811 "," -118202 "
3.02.01," Custo de construção "," -217338 "," -118202 "
3.02.02," Serviços "," -15921 "," 0 "
3.02.03," Custo com pessoal "," -14801 "," 0 "
3.02.04," Custo com o poder concedente "," -7867 "," 0 "
3.02.05," Depreciação e amortização "," -5012 "," 0 "
3.02.06," Materiais, equipamentos e veículos "," -4906 "," 0 "
3.02.07," Custos capitalizados "," 9299 "," 0 "
3.02.08," Outros "," -5265 "," 0 "
3.03," Resultado Bruto "," 55796 "," 0 "
3.04," Despesas/Receitas Operacionais "," -9343 "," -6455 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -9893 "," -6455 "
3.04.02.01," Despesas com pessoal "," -1533 "," -726 "
3.04.02.02," Serviços "," -5061 "," -1943 "
3.04.02.03," Custo com o poder concedente "," 0 "," -2095 "
3.04.02.04," Campanhas publicitárias e eventos, feiras e informativos "," -410 "," -62 "
3.04.02.05," Materiais, equipamentos e veículos "," -472 "," -402 "
3.04.02.06," Depreciação e amortização "," -1104 "," 0 "
3.04.02.07," Gastos com viagens e estadias "," -149 "," -63 "
3.04.02.08," Lei Rouanet, incentivos audiovisuais, esportivos e outros "," -275 "," 0 "
3.04.02.09," Outros "," -889 "," -1164 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 550 "," 0 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 46453 "," -6455 "
3.06," Resultado Financeiro "," 29425 "," 4622 "
3.06.01," Receitas Financeiras "," 29635 "," 4628 "
3.06.02," Despesas Financeiras "," -210 "," -6 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 75878 "," -1833 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -15839 "," 653 "
3.08.01," Corrente "," -17555 "," -1533 "
3.08.02," Diferido "," 1716 "," 2186 "
3.09," Resultado Líquido das Operações Continuadas "," 60039 "," -1180 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 60039 "," -1180 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.06673 "," -0.00451 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 0.06673 "," -0.00451 "
