Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 18874154 "," 14983800 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -14758383 "," -11372686 "
3.02.01," Custo do serviço de energia elétrica "," -9913640 "," -8124795 "
3.02.02," Custo de produção de energia elétrica "," -1348680 "," -256814 "
3.02.03," Custo de operação "," -1326808 "," -1180395 "
3.02.04," Custo de serviço prestado a terceiros "," -2169255 "," -1810682 "
3.03," Resultado Bruto "," 4115771 "," 3611114 "
3.04," Despesas/Receitas Operacionais "," -298777 "," -797843 "
3.04.01," Despesas com Vendas "," -135158 "," -146155 "
3.04.02," Despesas Gerais e Administrativas "," -579839 "," -595850 "
3.04.02.01," Despesas Gerais e Administrativas "," -579839 "," -595850 "
3.04.02.02," Depreciações e Amortizações "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 320556 "," 0 "
3.04.04.01," Ganho na alienação de investimentos "," 320556 "," 0 "
3.04.04.02," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," -146752 "," -135798 "
3.04.06," Resultado de Equivalência Patrimonial "," 242416 "," 79960 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 3816994 "," 2813271 "
3.06," Resultado Financeiro "," -801582 "," -451260 "
3.06.01," Receitas Financeiras "," 306353 "," 396572 "
3.06.02," Despesas Financeiras "," -1107935 "," -847832 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 3015412 "," 2362011 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -647867 "," -648091 "
3.08.01," Corrente "," -382373 "," -406153 "
3.08.02," Diferido "," -265494 "," -241938 "
3.09," Resultado Líquido das Operações Continuadas "," 2367545 "," 1713920 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 2367545 "," 1713920 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 2159838 "," 1508017 "
3.11.02," Atribuído a Sócios Não Controladores "," 207707 "," 205903 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 3.69863 "," 2.49565 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 3.68351 "," 2.48450 "
