Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 800208 "," 488210 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -435676 "," -282885 "
3.03," Resultado Bruto "," 364532 "," 205325 "
3.04," Despesas/Receitas Operacionais "," -356003 "," -161139 "
3.04.01," Despesas com Vendas "," -152457 "," -82155 "
3.04.02," Despesas Gerais e Administrativas "," -195974 "," -79893 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -10118 "," 0 "
3.04.04," Outras Receitas Operacionais "," 2546 "," 909 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 8529 "," 44186 "
3.06," Resultado Financeiro "," 4030 "," -14477 "
3.06.01," Receitas Financeiras "," 82694 "," 39704 "
3.06.02," Despesas Financeiras "," -78664 "," -54181 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 12559 "," 29709 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -28308 "," -9969 "
3.08.01," Corrente "," -23021 "," -14812 "
3.08.02," Diferido "," -5287 "," 4843 "
3.09," Resultado Líquido das Operações Continuadas "," -15749 "," 19740 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo Consolidado do Período "," -15749 "," 19740 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," -15749 "," 19740 "
3.11.02," Atribuído a Sócios Não Controladores "," "," "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," -0.03000 "," 0.04000 "
3.99.01.02," ON "," "," "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," -0.03000 "," 0.04000 "
