Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 13866219 "," 9807057 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -9382314 "," -7786984 "
3.02.01," Custo de venda, locação e prestação de serviços "," -7304534 "," -5168883 "
3.02.02," Custo de venda de ativos desmobilizados "," -2077780 "," -2618101 "
3.03," Resultado Bruto "," 4483905 "," 2020073 "
3.04," Despesas/Receitas Operacionais "," -1353354 "," -990091 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -1398455 "," -896692 "
3.04.02.01," Despesas comerciais "," -472614 "," -328770 "
3.04.02.02," Despesas administrativas "," -925841 "," -567922 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," -56164 "," -78667 "
3.04.03.01," Provisão de perdas esperadas ( "," -56164 "," -78667 "
3.04.04," Outras Receitas Operacionais "," 102799 "," -14217 "
3.04.04.01," Outras receitas (despesas) operacionais, líquidas "," 102799 "," -14217 "
3.04.05," Outras Despesas Operacionais "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," -1534 "," -515 "
3.04.06.01," Resultado de equivalência patrimonial "," -1534 "," -515 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 3130551 "," 1029982 "
3.06," Resultado Financeiro "," -1217593 "," -374776 "
3.06.01," Receitas Financeiras "," 736362 "," 679426 "
3.06.01.01," Receitas financeiras "," 736362 "," 679426 "
3.06.02," Despesas Financeiras "," -1953955 "," -1054202 "
3.06.02.01," Despesas financeiras "," -1953955 "," -1054202 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1912958 "," 655206 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -584008 "," -229167 "
3.08.01," Corrente "," -126774 "," -177605 "
3.08.02," Diferido "," -457234 "," -51562 "
3.09," Resultado Líquido das Operações Continuadas "," 1328950 "," 426039 "
3.10," Resultado Líquido de Operações Descontinuadas "," 0 "," -28539 "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," 0 "," -28539 "
3.10.01.01," Prejuízo após os tributos provenientes de operações descontinuadas "," 0 "," -28539 "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 1328950 "," 397500 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 822255 "," 276021 "
3.11.02," Atribuído a Sócios Não Controladores "," 506695 "," 121479 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 1.02276 "," 3.20100 "
3.99.01.02," ON "," 1.02276 "," 3.53200 "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 1.00850 "," 1.85900 "
3.99.02.02," ON "," 1.00850 "," 2.24400 "
