Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1616710 "," 983750 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1409255 "," -888623 "
3.03," Resultado Bruto "," 207455 "," 95127 "
3.04," Despesas/Receitas Operacionais "," -81405 "," -25572 "
3.04.01," Despesas com Vendas "," -15594 "," -10297 "
3.04.02," Despesas Gerais e Administrativas "," -75117 "," -61898 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," "," "
3.04.05," Outras Despesas Operacionais "," 9406 "," 46623 "
3.04.06," Resultado de Equivalência Patrimonial "," -100 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 126050 "," 69555 "
3.06," Resultado Financeiro "," -59017 "," -19854 "
3.06.01," Receitas Financeiras "," 17890 "," 13417 "
3.06.02," Despesas Financeiras "," -76907 "," -33271 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 67033 "," 49701 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," 12661 "," -37604 "
3.08.01," Corrente "," -41664 "," -23438 "
3.08.02," Diferido "," 54325 "," -14166 "
3.09," Resultado Líquido das Operações Continuadas "," 79694 "," 12097 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 79694 "," 12097 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 71270 "," 10404 "
3.11.02," Atribuído a Sócios Não Controladores "," 8424 "," 1693 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 0.62050 "," 0.02870 "
3.99.02," Lucro Diluído por Ação "," "," "
